run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251202_014917,Q-Learning,1,100,100,100,-103.55
20251202_014917,Q-Learning,101,200,100,200,-103.31
20251202_014917,Q-Learning,201,300,100,300,-103.77
20251202_014917,Q-Learning,301,400,100,400,-104.49
20251202_014917,Q-Learning,401,500,100,500,-104.53
20251202_014917,Q-Learning,501,600,100,600,-104.56
20251202_014917,Q-Learning,601,700,99,699,-103.48
20251202_014917,Q-Learning,701,800,100,799,-105.99
20251202_014917,Q-Learning,801,900,97,896,-102.1
20251202_014917,Q-Learning,901,1000,99,995,-103.97
20251202_014917,Q-Learning,1001,1100,98,1093,-103.27
20251202_014917,Q-Learning,1101,1200,97,1190,-102.07
20251202_014917,Q-Learning,1201,1300,95,1285,-100.8
20251202_014917,Q-Learning,1301,1400,96,1381,-101.44
20251202_014917,Q-Learning,1401,1500,92,1473,-98.3
20251202_014917,Q-Learning,1501,1600,88,1561,-93.61
20251202_014917,Q-Learning,1601,1700,92,1653,-97.09
20251202_014917,Q-Learning,1701,1800,88,1741,-93.84
20251202_014917,Q-Learning,1801,1900,82,1823,-88.68
20251202_014917,Q-Learning,1901,2000,84,1907,-90.09
20251202_014917,Q-Learning,2001,2100,83,1990,-89.7
20251202_014917,Q-Learning,2101,2200,79,2069,-85.14
20251202_014917,Q-Learning,2201,2300,83,2152,-89.12
20251202_014917,Q-Learning,2301,2400,77,2229,-83.17
20251202_014917,Q-Learning,2401,2500,74,2303,-80.51
20251202_014917,Q-Learning,2501,2600,71,2374,-77.69
20251202_014917,Q-Learning,2601,2700,63,2437,-70.32
20251202_014917,Q-Learning,2701,2800,59,2496,-65.61
20251202_014917,Q-Learning,2801,2900,65,2561,-72.14
20251202_014917,Q-Learning,2901,3000,62,2623,-68.69
20251202_014917,Q-Learning,3001,3100,52,2675,-59.08
20251202_014917,Q-Learning,3101,3200,60,2735,-66.81
20251202_014917,Q-Learning,3201,3300,49,2784,-56.64
20251202_014917,Q-Learning,3301,3400,50,2834,-57.53
20251202_014917,Q-Learning,3401,3500,46,2880,-53.32
20251202_014917,Q-Learning,3501,3600,53,2933,-59.78
20251202_014917,Q-Learning,3601,3700,54,2987,-60.88
20251202_014917,Q-Learning,3701,3800,39,3026,-46.43
20251202_014917,Q-Learning,3801,3900,42,3068,-49.65
20251202_014917,Q-Learning,3901,4000,35,3103,-42.36
20251202_014917,Q-Learning,4001,4100,42,3145,-49.05
20251202_014917,Q-Learning,4101,4200,34,3179,-41.3
20251202_014917,Q-Learning,4201,4300,36,3215,-43.66
20251202_014917,Q-Learning,4301,4400,30,3245,-37.53
20251202_014917,Q-Learning,4401,4500,37,3282,-44.24
20251202_014917,Q-Learning,4501,4600,39,3321,-46.17
20251202_014917,Q-Learning,4601,4700,28,3349,-35.48
20251202_014917,Q-Learning,4701,4800,30,3379,-37.56
20251202_014917,Q-Learning,4801,4900,37,3416,-44.37
20251202_014917,Q-Learning,4901,5000,26,3442,-33.49
20251202_014917,Q-Learning,5001,5100,41,3483,-48.05
20251202_014917,Q-Learning,5101,5200,26,3509,-33.77
20251202_014917,Q-Learning,5201,5300,37,3546,-44.17
20251202_014917,Q-Learning,5301,5400,30,3576,-37.68
20251202_014917,Q-Learning,5401,5500,30,3606,-37.37
20251202_014917,Q-Learning,5501,5600,34,3640,-41.16
20251202_014917,Q-Learning,5601,5700,27,3667,-34.77
20251202_014917,Q-Learning,5701,5800,29,3696,-36.49
20251202_014917,Q-Learning,5801,5900,30,3726,-37.39
20251202_014917,Q-Learning,5901,6000,31,3757,-38.68
20251202_014917,Q-Learning,6001,6100,26,3783,-33.64
20251202_014917,Q-Learning,6101,6200,42,3825,-49.28
20251202_014917,Q-Learning,6201,6300,24,3849,-31.62
20251202_014917,Q-Learning,6301,6400,32,3881,-39.35
20251202_014917,Q-Learning,6401,6500,28,3909,-35.56
20251202_014917,Q-Learning,6501,6600,28,3937,-35.65
20251202_014917,Q-Learning,6601,6700,27,3964,-34.74
20251202_014917,Q-Learning,6701,6800,30,3994,-37.37
20251202_014917,Q-Learning,6801,6900,35,4029,-42.34
20251202_014917,Q-Learning,6901,7000,32,4061,-39.3
20251202_014917,Q-Learning,7001,7100,33,4094,-40.61
20251202_014917,Q-Learning,7101,7200,30,4124,-37.77
20251202_014917,Q-Learning,7201,7300,27,4151,-34.47
20251202_014917,Q-Learning,7301,7400,33,4184,-40.35
20251202_014917,Q-Learning,7401,7500,33,4217,-40.33
20251202_014917,Q-Learning,7501,7600,30,4247,-37.39
20251202_014917,Q-Learning,7601,7700,35,4282,-42.36
20251202_014917,Q-Learning,7701,7800,39,4321,-46.33
20251202_014917,Q-Learning,7801,7900,34,4355,-41.34
20251202_014917,Q-Learning,7901,8000,30,4385,-37.61
20251202_014917,Q-Learning,8001,8100,26,4411,-33.71
20251202_014917,Q-Learning,8101,8200,35,4446,-43.08
20251202_014917,Q-Learning,8201,8300,21,4467,-29.18
20251202_014917,Q-Learning,8301,8400,39,4506,-46.28
20251202_014917,Q-Learning,8401,8500,31,4537,-38.73
20251202_014917,Q-Learning,8501,8600,38,4575,-45.31
20251202_014917,Q-Learning,8601,8700,33,4608,-40.32
20251202_014917,Q-Learning,8701,8800,32,4640,-39.38
20251202_014917,Q-Learning,8801,8900,27,4667,-34.54
20251202_014917,Q-Learning,8901,9000,35,4702,-42.13
20251202_014917,Q-Learning,9001,9100,24,4726,-31.66
20251202_014917,Q-Learning,9101,9200,29,4755,-36.55
20251202_014917,Q-Learning,9201,9300,29,4784,-36.38
20251202_014917,Q-Learning,9301,9400,30,4814,-37.2
20251202_014917,Q-Learning,9401,9500,36,4850,-43.24
20251202_014917,Q-Learning,9501,9600,39,4889,-46.39
20251202_014917,Q-Learning,9601,9700,30,4919,-37.3
20251202_014917,Q-Learning,9701,9800,30,4949,-37.67
20251202_014917,Q-Learning,9801,9900,21,4970,-28.72
20251202_014917,Q-Learning,9901,10000,29,4999,-36.38
20251202_014917,Q-Learning,10001,10100,35,5034,-42.12
20251202_014917,Q-Learning,10101,10200,37,5071,-44.45
20251202_014917,Q-Learning,10201,10300,32,5103,-39.48
20251202_014917,Q-Learning,10301,10400,24,5127,-31.54
20251202_014917,Q-Learning,10401,10500,26,5153,-33.33
20251202_014917,Q-Learning,10501,10600,40,5193,-46.99
20251202_014917,Q-Learning,10601,10700,22,5215,-30.0
20251202_014917,Q-Learning,10701,10800,33,5248,-40.19
20251202_014917,Q-Learning,10801,10900,34,5282,-41.33
20251202_014917,Q-Learning,10901,11000,28,5310,-35.79
20251202_014917,Q-Learning,11001,11100,31,5341,-38.19
20251202_014917,Q-Learning,11101,11200,24,5365,-31.64
20251202_014917,Q-Learning,11201,11300,27,5392,-35.02
20251202_014917,Q-Learning,11301,11400,32,5424,-39.71
20251202_014917,Q-Learning,11401,11500,25,5449,-32.66
20251202_014917,Q-Learning,11501,11600,31,5480,-38.36
20251202_014917,Q-Learning,11601,11700,35,5515,-42.2
20251202_014917,Q-Learning,11701,11800,28,5543,-35.52
20251202_014917,Q-Learning,11801,11900,33,5576,-40.32
20251202_014917,Q-Learning,11901,12000,23,5599,-30.42
20251202_014917,Q-Learning,12001,12100,31,5630,-38.43
20251202_014917,Q-Learning,12101,12200,34,5664,-41.43
20251202_014917,Q-Learning,12201,12300,30,5694,-37.6
20251202_014917,Q-Learning,12301,12400,32,5726,-39.63
20251202_014917,Q-Learning,12401,12500,22,5748,-29.69
20251202_014917,Q-Learning,12501,12600,35,5783,-42.01
20251202_014917,Q-Learning,12601,12700,28,5811,-35.62
20251202_014917,Q-Learning,12701,12800,39,5850,-46.25
20251202_014917,Q-Learning,12801,12900,34,5884,-41.2
20251202_014917,Q-Learning,12901,13000,29,5913,-36.56
20251202_014917,Q-Learning,13001,13100,31,5944,-38.56
20251202_014917,Q-Learning,13101,13200,28,5972,-35.65
20251202_014917,Q-Learning,13201,13300,38,6010,-45.11
20251202_014917,Q-Learning,13301,13400,27,6037,-35.06
20251202_014917,Q-Learning,13401,13500,29,6066,-36.66
20251202_014917,Q-Learning,13501,13600,30,6096,-37.32
20251202_014917,Q-Learning,13601,13700,31,6127,-38.33
20251202_014917,Q-Learning,13701,13800,43,6170,-50.22
20251202_014917,Q-Learning,13801,13900,33,6203,-40.7
20251202_014917,Q-Learning,13901,14000,33,6236,-40.57
20251202_014917,Q-Learning,14001,14100,26,6262,-33.52
20251202_014917,Q-Learning,14101,14200,25,6287,-33.25
20251202_014917,Q-Learning,14201,14300,26,6313,-33.49
20251202_014917,Q-Learning,14301,14400,29,6342,-36.9
20251202_014917,Q-Learning,14401,14500,27,6369,-34.88
20251202_014917,Q-Learning,14501,14600,34,6403,-41.01
20251202_014917,Q-Learning,14601,14700,30,6433,-37.08
20251202_014917,Q-Learning,14701,14800,25,6458,-32.57
20251202_014917,Q-Learning,14801,14900,32,6490,-39.4
20251202_014917,Q-Learning,14901,15000,33,6523,-40.14
20251202_014917,Q-Learning,15001,15100,33,6556,-40.31
20251202_014917,Q-Learning,15101,15200,34,6590,-41.46
20251202_014917,Q-Learning,15201,15300,26,6616,-33.98
20251202_014917,Q-Learning,15301,15400,34,6650,-41.19
20251202_014917,Q-Learning,15401,15500,28,6678,-35.78
20251202_014917,Q-Learning,15501,15600,35,6713,-42.13
20251202_014917,Q-Learning,15601,15700,38,6751,-45.36
20251202_014917,Q-Learning,15701,15800,25,6776,-32.72
20251202_014917,Q-Learning,15801,15900,33,6809,-40.57
20251202_014917,Q-Learning,15901,16000,39,6848,-46.04
20251202_014917,Q-Learning,16001,16100,32,6880,-39.63
20251202_014917,Q-Learning,16101,16200,26,6906,-33.6
20251202_014917,Q-Learning,16201,16300,36,6942,-43.38
20251202_014917,Q-Learning,16301,16400,34,6976,-41.62
20251202_014917,Q-Learning,16401,16500,36,7012,-43.11
