run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251202_015525,Q-Learning,1,100,100,100,-115.49
20251202_015525,Q-Learning,101,200,100,200,-115.08
20251202_015525,Q-Learning,201,300,100,300,-114.74
20251202_015525,Q-Learning,301,400,100,400,-112.91
20251202_015525,Q-Learning,401,500,100,500,-113.26
20251202_015525,Q-Learning,501,600,100,600,-113.67
20251202_015525,Q-Learning,601,700,100,700,-112.8
20251202_015525,Q-Learning,701,800,99,799,-112.66
20251202_015525,Q-Learning,801,900,98,897,-111.1
20251202_015525,Q-Learning,901,1000,97,994,-112.17
20251202_015525,Q-Learning,1001,1100,97,1091,-109.98
20251202_015525,Q-Learning,1101,1200,94,1185,-108.61
20251202_015525,Q-Learning,1201,1300,92,1277,-107.12
20251202_015525,Q-Learning,1301,1400,94,1371,-108.04
20251202_015525,Q-Learning,1401,1500,89,1460,-101.79
20251202_015525,Q-Learning,1501,1600,79,1539,-92.99
20251202_015525,Q-Learning,1601,1700,78,1617,-91.38
20251202_015525,Q-Learning,1701,1800,76,1693,-89.79
20251202_015525,Q-Learning,1801,1900,74,1767,-88.36
20251202_015525,Q-Learning,1901,2000,67,1834,-80.43
20251202_015525,Q-Learning,2001,2100,65,1899,-78.56
20251202_015525,Q-Learning,2101,2200,61,1960,-75.56
20251202_015525,Q-Learning,2201,2300,71,2031,-84.44
20251202_015525,Q-Learning,2301,2400,71,2102,-82.79
20251202_015525,Q-Learning,2401,2500,71,2173,-82.82
20251202_015525,Q-Learning,2501,2600,66,2239,-78.12
20251202_015525,Q-Learning,2601,2700,62,2301,-74.7
20251202_015525,Q-Learning,2701,2800,59,2360,-71.34
20251202_015525,Q-Learning,2801,2900,53,2413,-66.21
20251202_015525,Q-Learning,2901,3000,50,2463,-63.26
20251202_015525,Q-Learning,3001,3100,50,2513,-63.05
20251202_015525,Q-Learning,3101,3200,57,2570,-69.47
20251202_015525,Q-Learning,3201,3300,45,2615,-57.66
20251202_015525,Q-Learning,3301,3400,44,2659,-57.05
20251202_015525,Q-Learning,3401,3500,43,2702,-56.46
20251202_015525,Q-Learning,3501,3600,38,2740,-52.28
