run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251202_020550,Q-Learning,1,100,90,90,-104.68
20251202_020550,Q-Learning,101,200,78,168,-93.22
20251202_020550,Q-Learning,201,300,47,215,-60.57
20251202_020550,Q-Learning,301,400,31,246,-41.27
20251202_020550,Q-Learning,401,500,16,262,-23.13
20251202_020550,Q-Learning,501,600,9,271,-14.0
20251202_020550,Q-Learning,601,700,10,281,-14.54
20251202_020550,Q-Learning,701,800,4,285,-9.57
20251202_020550,Q-Learning,801,900,6,291,-13.13
20251202_020550,Q-Learning,901,1000,3,294,-7.27
20251202_020550,Q-Learning,1001,1100,3,297,-7.13
20251202_020550,Q-Learning,1101,1200,3,300,-7.16
20251202_020550,Q-Learning,1201,1300,2,302,-6.13
20251202_020550,Q-Learning,1301,1400,1,303,-5.08
20251202_020550,Q-Learning,1401,1500,0,303,-4.1
20251202_020550,Q-Learning,1501,1600,0,303,-4.03
20251202_020550,Q-Learning,1601,1700,1,304,-5.04
20251202_020550,Q-Learning,1701,1800,0,304,-4.05
20251202_020550,Q-Learning,1801,1900,0,304,-4.05
20251202_020550,Q-Learning,1901,2000,0,304,-4.09
20251202_020550,Q-Learning,2001,2100,0,304,-4.05
20251202_020550,Q-Learning,2101,2200,0,304,-4.05
20251202_020550,Q-Learning,2201,2300,0,304,-4.06
20251202_020550,Q-Learning,2301,2400,1,305,-5.04
20251202_020550,Q-Learning,2401,2500,0,305,-4.06
20251202_020550,Q-Learning,2501,2600,2,307,-6.0
20251202_020550,Q-Learning,2601,2700,1,308,-5.03
20251202_020550,Q-Learning,2701,2800,0,308,-4.03
20251202_020550,Q-Learning,2801,2900,1,309,-4.98
20251202_020550,Q-Learning,2901,3000,0,309,-4.01
20251202_020550,Q-Learning,3001,3100,0,309,-4.02
20251202_020550,Q-Learning,3101,3200,1,310,-5.13
20251202_020550,Q-Learning,3201,3300,0,310,-4.05
20251202_020550,Q-Learning,3301,3400,2,312,-6.07
20251202_020550,Q-Learning,3401,3500,0,312,-4.05
20251202_020550,Q-Learning,3501,3600,0,312,-4.05
20251202_020550,Q-Learning,3601,3700,0,312,-4.07
20251202_020550,Q-Learning,3701,3800,0,312,-4.07
