run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251202_020550,SARSA,1,100,93,93,-119.19
20251202_020550,SARSA,101,200,89,182,-155.13
20251202_020550,SARSA,201,300,56,238,-143.03
20251202_020550,SARSA,301,400,22,260,-75.78
20251202_020550,SARSA,401,500,13,273,-47.13
20251202_020550,SARSA,501,600,7,280,-33.48
20251202_020550,SARSA,601,700,5,285,-29.77
20251202_020550,SARSA,701,800,1,286,-24.48
20251202_020550,SARSA,801,900,1,287,-22.91
20251202_020550,SARSA,901,1000,1,288,-22.44
20251202_020550,SARSA,1001,1100,0,288,-20.97
20251202_020550,SARSA,1101,1200,0,288,-20.89
20251202_020550,SARSA,1201,1300,0,288,-20.65
20251202_020550,SARSA,1301,1400,0,288,-20.44
20251202_020550,SARSA,1401,1500,0,288,-20.5
20251202_020550,SARSA,1501,1600,0,288,-20.21
20251202_020550,SARSA,1601,1700,0,288,-20.13
20251202_020550,SARSA,1701,1800,0,288,-20.14
20251202_020550,SARSA,1801,1900,0,288,-20.33
20251202_020550,SARSA,1901,2000,0,288,-20.35
20251202_020550,SARSA,2001,2100,0,288,-20.19
20251202_020550,SARSA,2101,2200,0,288,-20.13
20251202_020550,SARSA,2201,2300,0,288,-20.45
20251202_020550,SARSA,2301,2400,0,288,-20.34
20251202_020550,SARSA,2401,2500,0,288,-20.29
20251202_020550,SARSA,2501,2600,0,288,-20.22
20251202_020550,SARSA,2601,2700,0,288,-20.3
20251202_020550,SARSA,2701,2800,0,288,-20.16
20251202_020550,SARSA,2801,2900,0,288,-20.15
20251202_020550,SARSA,2901,3000,0,288,-20.36
20251202_020550,SARSA,3001,3100,0,288,-20.37
20251202_020550,SARSA,3101,3200,0,288,-20.24
20251202_020550,SARSA,3201,3300,0,288,-20.26
20251202_020550,SARSA,3301,3400,0,288,-20.06
20251202_020550,SARSA,3401,3500,0,288,-20.25
20251202_020550,SARSA,3501,3600,0,288,-20.22
20251202_020550,SARSA,3601,3700,0,288,-20.38
20251202_020550,SARSA,3701,3800,0,288,-20.32
20251202_020550,SARSA,3801,3900,0,288,-20.14
20251202_020550,SARSA,3901,4000,0,288,-20.22
20251202_020550,SARSA,4001,4100,0,288,-20.12
20251202_020550,SARSA,4101,4200,0,288,-20.17
20251202_020550,SARSA,4201,4300,0,288,-20.15
20251202_020550,SARSA,4301,4400,0,288,-20.14
20251202_020550,SARSA,4401,4500,0,288,-20.25
20251202_020550,SARSA,4501,4600,0,288,-20.3
20251202_020550,SARSA,4601,4700,0,288,-20.25
20251202_020550,SARSA,4701,4800,0,288,-20.27
20251202_020550,SARSA,4801,4900,0,288,-20.24
20251202_020550,SARSA,4901,5000,0,288,-20.31
20251202_020550,SARSA,5001,5100,0,288,-20.19
20251202_020550,SARSA,5101,5200,0,288,-20.2
20251202_020550,SARSA,5201,5300,0,288,-20.12
20251202_020550,SARSA,5301,5400,0,288,-20.14
20251202_020550,SARSA,5401,5500,0,288,-20.17
20251202_020550,SARSA,5501,5600,0,288,-20.28
20251202_020550,SARSA,5601,5700,0,288,-20.18
20251202_020550,SARSA,5701,5800,0,288,-20.23
20251202_020550,SARSA,5801,5900,0,288,-20.19
20251202_020550,SARSA,5901,6000,0,288,-20.21
20251202_020550,SARSA,6001,6100,0,288,-20.17
20251202_020550,SARSA,6101,6200,0,288,-20.28
20251202_020550,SARSA,6201,6300,0,288,-20.18
20251202_020550,SARSA,6301,6400,0,288,-20.23
20251202_020550,SARSA,6401,6500,0,288,-20.34
