run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251202_020640,Q-Learning,1,100,100,100,-104.12
20251202_020640,Q-Learning,101,200,100,200,-107.14
20251202_020640,Q-Learning,201,300,95,295,-104.5
20251202_020640,Q-Learning,301,400,89,384,-100.52
20251202_020640,Q-Learning,401,500,73,457,-81.31
20251202_020640,Q-Learning,501,600,50,507,-58.04
20251202_020640,Q-Learning,601,700,45,552,-53.02
20251202_020640,Q-Learning,701,800,38,590,-46.44
20251202_020640,Q-Learning,801,900,23,613,-31.75
20251202_020640,Q-Learning,901,1000,19,632,-27.55
20251202_020640,Q-Learning,1001,1100,16,648,-24.83
20251202_020640,Q-Learning,1101,1200,10,658,-18.97
20251202_020640,Q-Learning,1201,1300,10,668,-17.94
20251202_020640,Q-Learning,1301,1400,4,672,-12.79
20251202_020640,Q-Learning,1401,1500,2,674,-9.99
20251202_020640,Q-Learning,1501,1600,1,675,-9.03
20251202_020640,Q-Learning,1601,1700,3,678,-10.99
20251202_020640,Q-Learning,1701,1800,6,684,-13.93
20251202_020640,Q-Learning,1801,1900,1,685,-8.99
20251202_020640,Q-Learning,1901,2000,3,688,-10.86
20251202_020640,Q-Learning,2001,2100,4,692,-11.87
20251202_020640,Q-Learning,2101,2200,2,694,-10.07
20251202_020640,Q-Learning,2201,2300,4,698,-11.97
20251202_020640,Q-Learning,2301,2400,9,707,-16.74
20251202_020640,Q-Learning,2401,2500,5,712,-12.89
20251202_020640,Q-Learning,2501,2600,1,713,-9.0
20251202_020640,Q-Learning,2601,2700,4,717,-11.86
20251202_020640,Q-Learning,2701,2800,4,721,-11.9
20251202_020640,Q-Learning,2801,2900,5,726,-12.89
20251202_020640,Q-Learning,2901,3000,3,729,-12.08
20251202_020640,Q-Learning,3001,3100,5,734,-12.9
20251202_020640,Q-Learning,3101,3200,3,737,-11.02
20251202_020640,Q-Learning,3201,3300,2,739,-10.5
20251202_020640,Q-Learning,3301,3400,2,741,-10.43
20251202_020640,Q-Learning,3401,3500,1,742,-9.07
20251202_020640,Q-Learning,3501,3600,1,743,-9.02
20251202_020640,Q-Learning,3601,3700,4,747,-13.4
20251202_020640,Q-Learning,3701,3800,3,750,-10.95
20251202_020640,Q-Learning,3801,3900,5,755,-12.93
20251202_020640,Q-Learning,3901,4000,1,756,-9.04
20251202_020640,Q-Learning,4001,4100,4,760,-12.0
20251202_020640,Q-Learning,4101,4200,6,766,-13.77
20251202_020640,Q-Learning,4201,4300,3,769,-11.01
20251202_020640,Q-Learning,4301,4400,3,772,-10.85
20251202_020640,Q-Learning,4401,4500,4,776,-11.97
20251202_020640,Q-Learning,4501,4600,2,778,-9.93
20251202_020640,Q-Learning,4601,4700,8,786,-15.69
20251202_020640,Q-Learning,4701,4800,4,790,-11.91
20251202_020640,Q-Learning,4801,4900,1,791,-9.0
20251202_020640,Q-Learning,4901,5000,2,793,-10.04
20251202_020640,Q-Learning,5001,5100,6,799,-13.95
20251202_020640,Q-Learning,5101,5200,6,805,-13.92
20251202_020640,Q-Learning,5201,5300,2,807,-10.0
20251202_020640,Q-Learning,5301,5400,1,808,-9.2
20251202_020640,Q-Learning,5401,5500,3,811,-11.06
20251202_020640,Q-Learning,5501,5600,3,814,-10.9
20251202_020640,Q-Learning,5601,5700,5,819,-12.87
20251202_020640,Q-Learning,5701,5800,4,823,-11.98
20251202_020640,Q-Learning,5801,5900,2,825,-10.04
20251202_020640,Q-Learning,5901,6000,3,828,-11.01
20251202_020640,Q-Learning,6001,6100,6,834,-14.38
20251202_020640,Q-Learning,6101,6200,3,837,-11.01
20251202_020640,Q-Learning,6201,6300,3,840,-11.02
20251202_020640,Q-Learning,6301,6400,2,842,-9.97
20251202_020640,Q-Learning,6401,6500,9,851,-17.2
20251202_020640,Q-Learning,6501,6600,5,856,-12.87
20251202_020640,Q-Learning,6601,6700,5,861,-12.91
20251202_020640,Q-Learning,6701,6800,1,862,-9.0
20251202_020640,Q-Learning,6801,6900,2,864,-9.94
20251202_020640,Q-Learning,6901,7000,6,870,-13.93
20251202_020640,Q-Learning,7001,7100,1,871,-9.03
20251202_020640,Q-Learning,7101,7200,5,876,-12.94
20251202_020640,Q-Learning,7201,7300,6,882,-13.75
20251202_020640,Q-Learning,7301,7400,2,884,-9.92
20251202_020640,Q-Learning,7401,7500,5,889,-12.96
20251202_020640,Q-Learning,7501,7600,4,893,-11.9
20251202_020640,Q-Learning,7601,7700,1,894,-9.03
20251202_020640,Q-Learning,7701,7800,4,898,-11.89
20251202_020640,Q-Learning,7801,7900,5,903,-12.83
20251202_020640,Q-Learning,7901,8000,6,909,-14.37
20251202_020640,Q-Learning,8001,8100,4,913,-11.94
20251202_020640,Q-Learning,8101,8200,6,919,-13.91
20251202_020640,Q-Learning,8201,8300,3,922,-10.96
20251202_020640,Q-Learning,8301,8400,6,928,-13.85
20251202_020640,Q-Learning,8401,8500,5,933,-13.03
20251202_020640,Q-Learning,8501,8600,5,938,-12.95
20251202_020640,Q-Learning,8601,8700,5,943,-12.83
20251202_020640,Q-Learning,8701,8800,5,948,-12.79
20251202_020640,Q-Learning,8801,8900,3,951,-10.95
20251202_020640,Q-Learning,8901,9000,2,953,-10.6
20251202_020640,Q-Learning,9001,9100,6,959,-13.83
20251202_020640,Q-Learning,9101,9200,6,965,-13.87
20251202_020640,Q-Learning,9201,9300,2,967,-10.04
20251202_020640,Q-Learning,9301,9400,1,968,-9.63
20251202_020640,Q-Learning,9401,9500,7,975,-14.62
20251202_020640,Q-Learning,9501,9600,5,980,-13.25
20251202_020640,Q-Learning,9601,9700,6,986,-13.83
20251202_020640,Q-Learning,9701,9800,2,988,-9.97
20251202_020640,Q-Learning,9801,9900,3,991,-10.97
20251202_020640,Q-Learning,9901,10000,1,992,-9.04
20251202_020640,Q-Learning,10001,10100,7,999,-14.7
20251202_020640,Q-Learning,10101,10200,0,999,-8.03
20251202_020640,Q-Learning,10201,10300,4,1003,-12.25
20251202_020640,Q-Learning,10301,10400,4,1007,-11.89
20251202_020640,Q-Learning,10401,10500,3,1010,-10.9
20251202_020640,Q-Learning,10501,10600,3,1013,-10.94
20251202_020640,Q-Learning,10601,10700,3,1016,-10.98
20251202_020640,Q-Learning,10701,10800,2,1018,-9.97
20251202_020640,Q-Learning,10801,10900,5,1023,-13.78
20251202_020640,Q-Learning,10901,11000,4,1027,-11.94
20251202_020640,Q-Learning,11001,11100,2,1029,-9.94
20251202_020640,Q-Learning,11101,11200,7,1036,-14.72
20251202_020640,Q-Learning,11201,11300,2,1038,-9.97
20251202_020640,Q-Learning,11301,11400,3,1041,-10.91
20251202_020640,Q-Learning,11401,11500,4,1045,-11.93
20251202_020640,Q-Learning,11501,11600,7,1052,-14.94
20251202_020640,Q-Learning,11601,11700,3,1055,-11.08
20251202_020640,Q-Learning,11701,11800,3,1058,-11.22
20251202_020640,Q-Learning,11801,11900,3,1061,-11.02
20251202_020640,Q-Learning,11901,12000,5,1066,-12.96
20251202_020640,Q-Learning,12001,12100,3,1069,-11.19
20251202_020640,Q-Learning,12101,12200,7,1076,-15.55
20251202_020640,Q-Learning,12201,12300,8,1084,-15.76
20251202_020640,Q-Learning,12301,12400,5,1089,-13.0
20251202_020640,Q-Learning,12401,12500,2,1091,-10.0
20251202_020640,Q-Learning,12501,12600,5,1096,-12.89
20251202_020640,Q-Learning,12601,12700,3,1099,-11.1
20251202_020640,Q-Learning,12701,12800,7,1106,-14.68
20251202_020640,Q-Learning,12801,12900,5,1111,-12.89
20251202_020640,Q-Learning,12901,13000,3,1114,-10.99
20251202_020640,Q-Learning,13001,13100,4,1118,-12.0
20251202_020640,Q-Learning,13101,13200,3,1121,-10.88
20251202_020640,Q-Learning,13201,13300,4,1125,-11.97
20251202_020640,Q-Learning,13301,13400,4,1129,-11.91
20251202_020640,Q-Learning,13401,13500,4,1133,-11.93
20251202_020640,Q-Learning,13501,13600,6,1139,-13.89
20251202_020640,Q-Learning,13601,13700,4,1143,-11.91
20251202_020640,Q-Learning,13701,13800,8,1151,-15.82
20251202_020640,Q-Learning,13801,13900,2,1153,-10.08
20251202_020640,Q-Learning,13901,14000,1,1154,-9.02
20251202_020640,Q-Learning,14001,14100,4,1158,-11.9
20251202_020640,Q-Learning,14101,14200,5,1163,-13.24
20251202_020640,Q-Learning,14201,14300,5,1168,-12.95
20251202_020640,Q-Learning,14301,14400,2,1170,-9.93
20251202_020640,Q-Learning,14401,14500,5,1175,-12.83
20251202_020640,Q-Learning,14501,14600,1,1176,-9.05
20251202_020640,Q-Learning,14601,14700,4,1180,-11.97
20251202_020640,Q-Learning,14701,14800,4,1184,-12.0
20251202_020640,Q-Learning,14801,14900,2,1186,-10.06
20251202_020640,Q-Learning,14901,15000,5,1191,-12.92
20251202_020640,Q-Learning,15001,15100,1,1192,-9.0
20251202_020640,Q-Learning,15101,15200,2,1194,-10.03
20251202_020640,Q-Learning,15201,15300,4,1198,-11.97
20251202_020640,Q-Learning,15301,15400,0,1198,-8.02
20251202_020640,Q-Learning,15401,15500,4,1202,-11.96
20251202_020640,Q-Learning,15501,15600,0,1202,-8.04
20251202_020640,Q-Learning,15601,15700,8,1210,-15.81
20251202_020640,Q-Learning,15701,15800,6,1216,-13.85
20251202_020640,Q-Learning,15801,15900,2,1218,-10.0
20251202_020640,Q-Learning,15901,16000,3,1221,-10.96
