run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251202_020640,SARSA,1,100,100,100,-103.7
20251202_020640,SARSA,101,200,100,200,-108.34
20251202_020640,SARSA,201,300,99,299,-112.64
20251202_020640,SARSA,301,400,100,399,-122.59
20251202_020640,SARSA,401,500,89,488,-121.47
20251202_020640,SARSA,501,600,77,565,-121.45
20251202_020640,SARSA,601,700,57,622,-97.12
20251202_020640,SARSA,701,800,34,656,-51.81
20251202_020640,SARSA,801,900,27,683,-43.03
20251202_020640,SARSA,901,1000,47,730,-104.19
20251202_020640,SARSA,1001,1100,10,740,-26.69
20251202_020640,SARSA,1101,1200,4,744,-20.28
20251202_020640,SARSA,1201,1300,5,749,-20.92
20251202_020640,SARSA,1301,1400,2,751,-18.27
20251202_020640,SARSA,1401,1500,2,753,-18.37
20251202_020640,SARSA,1501,1600,0,753,-16.16
20251202_020640,SARSA,1601,1700,0,753,-16.26
20251202_020640,SARSA,1701,1800,2,755,-17.96
20251202_020640,SARSA,1801,1900,1,756,-16.91
20251202_020640,SARSA,1901,2000,2,758,-18.1
20251202_020640,SARSA,2001,2100,2,760,-17.96
20251202_020640,SARSA,2101,2200,2,762,-19.23
20251202_020640,SARSA,2201,2300,2,764,-18.04
20251202_020640,SARSA,2301,2400,1,765,-18.09
20251202_020640,SARSA,2401,2500,2,767,-18.18
20251202_020640,SARSA,2501,2600,1,768,-16.98
20251202_020640,SARSA,2601,2700,0,768,-16.18
20251202_020640,SARSA,2701,2800,2,770,-17.92
20251202_020640,SARSA,2801,2900,3,773,-22.03
20251202_020640,SARSA,2901,3000,0,773,-16.24
20251202_020640,SARSA,3001,3100,3,776,-19.06
20251202_020640,SARSA,3101,3200,3,779,-19.52
20251202_020640,SARSA,3201,3300,0,779,-16.16
20251202_020640,SARSA,3301,3400,3,782,-19.16
20251202_020640,SARSA,3401,3500,7,789,-34.91
20251202_020640,SARSA,3501,3600,3,792,-19.5
20251202_020640,SARSA,3601,3700,2,794,-18.18
20251202_020640,SARSA,3701,3800,0,794,-16.26
20251202_020640,SARSA,3801,3900,1,795,-17.01
20251202_020640,SARSA,3901,4000,0,795,-16.2
20251202_020640,SARSA,4001,4100,7,802,-23.87
20251202_020640,SARSA,4101,4200,2,804,-18.24
20251202_020640,SARSA,4201,4300,2,806,-19.51
20251202_020640,SARSA,4301,4400,2,808,-18.0
20251202_020640,SARSA,4401,4500,0,808,-16.21
20251202_020640,SARSA,4501,4600,1,809,-18.83
20251202_020640,SARSA,4601,4700,1,810,-16.94
20251202_020640,SARSA,4701,4800,4,814,-20.04
20251202_020640,SARSA,4801,4900,5,819,-22.18
20251202_020640,SARSA,4901,5000,3,822,-19.81
20251202_020640,SARSA,5001,5100,1,823,-17.05
20251202_020640,SARSA,5101,5200,3,826,-19.2
20251202_020640,SARSA,5201,5300,4,830,-35.29
20251202_020640,SARSA,5301,5400,1,831,-18.0
20251202_020640,SARSA,5401,5500,1,832,-17.13
20251202_020640,SARSA,5501,5600,2,834,-18.24
20251202_020640,SARSA,5601,5700,3,837,-18.98
20251202_020640,SARSA,5701,5800,1,838,-17.31
20251202_020640,SARSA,5801,5900,2,840,-18.05
20251202_020640,SARSA,5901,6000,2,842,-17.94
20251202_020640,SARSA,6001,6100,1,843,-17.12
20251202_020640,SARSA,6101,6200,2,845,-18.99
20251202_020640,SARSA,6201,6300,2,847,-18.09
20251202_020640,SARSA,6301,6400,3,850,-19.02
20251202_020640,SARSA,6401,6500,6,856,-23.64
20251202_020640,SARSA,6501,6600,2,858,-19.1
20251202_020640,SARSA,6601,6700,3,861,-18.8
20251202_020640,SARSA,6701,6800,1,862,-17.37
20251202_020640,SARSA,6801,6900,1,863,-17.16
20251202_020640,SARSA,6901,7000,2,865,-18.22
20251202_020640,SARSA,7001,7100,0,865,-16.32
20251202_020640,SARSA,7101,7200,1,866,-17.19
20251202_020640,SARSA,7201,7300,2,868,-19.08
20251202_020640,SARSA,7301,7400,4,872,-21.45
20251202_020640,SARSA,7401,7500,2,874,-19.09
20251202_020640,SARSA,7501,7600,1,875,-18.04
20251202_020640,SARSA,7601,7700,1,876,-16.96
20251202_020640,SARSA,7701,7800,2,878,-20.52
20251202_020640,SARSA,7801,7900,1,879,-17.29
20251202_020640,SARSA,7901,8000,3,882,-20.58
