run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251202_020728,Q-Learning,1,100,100,100,-115.45
20251202_020728,Q-Learning,101,200,100,200,-112.11
20251202_020728,Q-Learning,201,300,97,297,-111.11
20251202_020728,Q-Learning,301,400,94,391,-112.21
20251202_020728,Q-Learning,401,500,78,469,-101.71
20251202_020728,Q-Learning,501,600,64,533,-84.66
20251202_020728,Q-Learning,601,700,48,581,-68.86
20251202_020728,Q-Learning,701,800,32,613,-51.36
20251202_020728,Q-Learning,801,900,19,632,-36.03
20251202_020728,Q-Learning,901,1000,5,637,-21.21
20251202_020728,Q-Learning,1001,1100,13,650,-27.07
20251202_020728,Q-Learning,1101,1200,6,656,-20.15
20251202_020728,Q-Learning,1201,1300,5,661,-19.51
20251202_020728,Q-Learning,1301,1400,11,672,-24.4
20251202_020728,Q-Learning,1401,1500,2,674,-16.16
20251202_020728,Q-Learning,1501,1600,3,677,-16.99
20251202_020728,Q-Learning,1601,1700,2,679,-15.96
20251202_020728,Q-Learning,1701,1800,3,682,-16.99
20251202_020728,Q-Learning,1801,1900,2,684,-15.99
20251202_020728,Q-Learning,1901,2000,1,685,-15.16
20251202_020728,Q-Learning,2001,2100,1,686,-15.07
20251202_020728,Q-Learning,2101,2200,3,689,-17.01
20251202_020728,Q-Learning,2201,2300,2,691,-15.88
20251202_020728,Q-Learning,2301,2400,2,693,-16.13
20251202_020728,Q-Learning,2401,2500,2,695,-16.02
20251202_020728,Q-Learning,2501,2600,0,695,-14.17
20251202_020728,Q-Learning,2601,2700,2,697,-15.97
20251202_020728,Q-Learning,2701,2800,0,697,-14.13
20251202_020728,Q-Learning,2801,2900,5,702,-18.62
20251202_020728,Q-Learning,2901,3000,1,703,-15.12
20251202_020728,Q-Learning,3001,3100,3,706,-17.18
20251202_020728,Q-Learning,3101,3200,5,711,-18.69
20251202_020728,Q-Learning,3201,3300,2,713,-16.14
20251202_020728,Q-Learning,3301,3400,5,718,-18.85
20251202_020728,Q-Learning,3401,3500,2,720,-15.98
20251202_020728,Q-Learning,3501,3600,2,722,-16.04
20251202_020728,Q-Learning,3601,3700,4,726,-17.84
20251202_020728,Q-Learning,3701,3800,2,728,-16.04
20251202_020728,Q-Learning,3801,3900,5,733,-18.61
20251202_020728,Q-Learning,3901,4000,4,737,-17.84
20251202_020728,Q-Learning,4001,4100,2,739,-16.12
20251202_020728,Q-Learning,4101,4200,1,740,-15.03
20251202_020728,Q-Learning,4201,4300,2,742,-16.05
20251202_020728,Q-Learning,4301,4400,3,745,-17.01
20251202_020728,Q-Learning,4401,4500,1,746,-14.92
20251202_020728,Q-Learning,4501,4600,3,749,-16.89
20251202_020728,Q-Learning,4601,4700,1,750,-15.14
20251202_020728,Q-Learning,4701,4800,4,754,-17.82
20251202_020728,Q-Learning,4801,4900,5,759,-18.87
20251202_020728,Q-Learning,4901,5000,2,761,-15.97
20251202_020728,Q-Learning,5001,5100,4,765,-17.94
20251202_020728,Q-Learning,5101,5200,2,767,-16.05
20251202_020728,Q-Learning,5201,5300,4,771,-17.77
20251202_020728,Q-Learning,5301,5400,7,778,-20.91
20251202_020728,Q-Learning,5401,5500,1,779,-15.0
20251202_020728,Q-Learning,5501,5600,2,781,-16.02
20251202_020728,Q-Learning,5601,5700,4,785,-17.71
20251202_020728,Q-Learning,5701,5800,3,788,-16.91
20251202_020728,Q-Learning,5801,5900,1,789,-15.21
20251202_020728,Q-Learning,5901,6000,4,793,-17.98
20251202_020728,Q-Learning,6001,6100,2,795,-16.08
20251202_020728,Q-Learning,6101,6200,0,795,-14.14
20251202_020728,Q-Learning,6201,6300,4,799,-18.12
20251202_020728,Q-Learning,6301,6400,5,804,-18.82
20251202_020728,Q-Learning,6401,6500,2,806,-15.97
20251202_020728,Q-Learning,6501,6600,2,808,-15.99
20251202_020728,Q-Learning,6601,6700,1,809,-14.98
20251202_020728,Q-Learning,6701,6800,0,809,-14.18
20251202_020728,Q-Learning,6801,6900,4,813,-17.97
20251202_020728,Q-Learning,6901,7000,2,815,-15.99
20251202_020728,Q-Learning,7001,7100,3,818,-17.06
20251202_020728,Q-Learning,7101,7200,0,818,-14.23
20251202_020728,Q-Learning,7201,7300,4,822,-17.97
20251202_020728,Q-Learning,7301,7400,0,822,-14.11
20251202_020728,Q-Learning,7401,7500,2,824,-15.97
20251202_020728,Q-Learning,7501,7600,1,825,-15.04
20251202_020728,Q-Learning,7601,7700,2,827,-15.97
20251202_020728,Q-Learning,7701,7800,6,833,-19.89
20251202_020728,Q-Learning,7801,7900,3,836,-16.91
20251202_020728,Q-Learning,7901,8000,1,837,-15.1
20251202_020728,Q-Learning,8001,8100,2,839,-16.19
20251202_020728,Q-Learning,8101,8200,2,841,-15.99
20251202_020728,Q-Learning,8201,8300,3,844,-16.88
20251202_020728,Q-Learning,8301,8400,2,846,-16.07
20251202_020728,Q-Learning,8401,8500,2,848,-16.0
20251202_020728,Q-Learning,8501,8600,4,852,-17.97
20251202_020728,Q-Learning,8601,8700,1,853,-15.07
20251202_020728,Q-Learning,8701,8800,3,856,-16.93
20251202_020728,Q-Learning,8801,8900,6,862,-19.63
20251202_020728,Q-Learning,8901,9000,3,865,-16.95
20251202_020728,Q-Learning,9001,9100,2,867,-16.05
20251202_020728,Q-Learning,9101,9200,3,870,-16.91
20251202_020728,Q-Learning,9201,9300,5,875,-18.83
20251202_020728,Q-Learning,9301,9400,1,876,-15.01
20251202_020728,Q-Learning,9401,9500,0,876,-14.1
20251202_020728,Q-Learning,9501,9600,2,878,-15.99
20251202_020728,Q-Learning,9601,9700,3,881,-16.99
20251202_020728,Q-Learning,9701,9800,2,883,-15.91
20251202_020728,Q-Learning,9801,9900,3,886,-16.91
20251202_020728,Q-Learning,9901,10000,4,890,-17.69
20251202_020728,Q-Learning,10001,10100,1,891,-15.1
20251202_020728,Q-Learning,10101,10200,2,893,-15.9
20251202_020728,Q-Learning,10201,10300,1,894,-15.07
20251202_020728,Q-Learning,10301,10400,0,894,-14.11
20251202_020728,Q-Learning,10401,10500,2,896,-16.02
20251202_020728,Q-Learning,10501,10600,3,899,-16.92
20251202_020728,Q-Learning,10601,10700,0,899,-14.11
20251202_020728,Q-Learning,10701,10800,6,905,-19.83
20251202_020728,Q-Learning,10801,10900,3,908,-16.9
20251202_020728,Q-Learning,10901,11000,6,914,-19.96
20251202_020728,Q-Learning,11001,11100,1,915,-15.13
20251202_020728,Q-Learning,11101,11200,5,920,-18.93
20251202_020728,Q-Learning,11201,11300,1,921,-15.02
20251202_020728,Q-Learning,11301,11400,2,923,-15.98
20251202_020728,Q-Learning,11401,11500,6,929,-19.68
20251202_020728,Q-Learning,11501,11600,2,931,-16.08
20251202_020728,Q-Learning,11601,11700,5,936,-18.79
20251202_020728,Q-Learning,11701,11800,3,939,-17.1
20251202_020728,Q-Learning,11801,11900,2,941,-16.07
20251202_020728,Q-Learning,11901,12000,3,944,-16.96
20251202_020728,Q-Learning,12001,12100,1,945,-15.03
20251202_020728,Q-Learning,12101,12200,1,946,-15.03
20251202_020728,Q-Learning,12201,12300,3,949,-16.85
20251202_020728,Q-Learning,12301,12400,5,954,-18.73
20251202_020728,Q-Learning,12401,12500,3,957,-16.89
20251202_020728,Q-Learning,12501,12600,3,960,-17.13
20251202_020728,Q-Learning,12601,12700,1,961,-14.98
20251202_020728,Q-Learning,12701,12800,3,964,-16.97
20251202_020728,Q-Learning,12801,12900,4,968,-17.89
20251202_020728,Q-Learning,12901,13000,1,969,-15.05
20251202_020728,Q-Learning,13001,13100,2,971,-15.98
20251202_020728,Q-Learning,13101,13200,1,972,-15.02
20251202_020728,Q-Learning,13201,13300,0,972,-14.14
20251202_020728,Q-Learning,13301,13400,1,973,-15.21
20251202_020728,Q-Learning,13401,13500,4,977,-17.87
20251202_020728,Q-Learning,13501,13600,0,977,-14.12
20251202_020728,Q-Learning,13601,13700,3,980,-16.94
20251202_020728,Q-Learning,13701,13800,1,981,-15.11
20251202_020728,Q-Learning,13801,13900,2,983,-16.02
20251202_020728,Q-Learning,13901,14000,2,985,-16.01
20251202_020728,Q-Learning,14001,14100,6,991,-19.67
20251202_020728,Q-Learning,14101,14200,0,991,-14.1
20251202_020728,Q-Learning,14201,14300,2,993,-15.99
20251202_020728,Q-Learning,14301,14400,2,995,-16.07
20251202_020728,Q-Learning,14401,14500,0,995,-14.13
20251202_020728,Q-Learning,14501,14600,5,1000,-18.99
20251202_020728,Q-Learning,14601,14700,3,1003,-16.81
20251202_020728,Q-Learning,14701,14800,3,1006,-16.95
20251202_020728,Q-Learning,14801,14900,5,1011,-18.78
20251202_020728,Q-Learning,14901,15000,5,1016,-18.91
20251202_020728,Q-Learning,15001,15100,3,1019,-16.85
20251202_020728,Q-Learning,15101,15200,1,1020,-15.03
20251202_020728,Q-Learning,15201,15300,3,1023,-16.81
20251202_020728,Q-Learning,15301,15400,4,1027,-18.0
20251202_020728,Q-Learning,15401,15500,1,1028,-15.08
20251202_020728,Q-Learning,15501,15600,2,1030,-16.05
20251202_020728,Q-Learning,15601,15700,4,1034,-17.83
20251202_020728,Q-Learning,15701,15800,1,1035,-15.15
20251202_020728,Q-Learning,15801,15900,2,1037,-16.16
20251202_020728,Q-Learning,15901,16000,4,1041,-17.88
20251202_020728,Q-Learning,16001,16100,4,1045,-17.77
20251202_020728,Q-Learning,16101,16200,6,1051,-19.81
20251202_020728,Q-Learning,16201,16300,3,1054,-16.99
20251202_020728,Q-Learning,16301,16400,3,1057,-17.02
20251202_020728,Q-Learning,16401,16500,3,1060,-16.84
