run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251202_020728,SARSA,1,100,99,99,-119.02
20251202_020728,SARSA,101,200,100,199,-123.06
20251202_020728,SARSA,201,300,99,298,-123.24
20251202_020728,SARSA,301,400,92,390,-114.23
20251202_020728,SARSA,401,500,79,469,-103.03
20251202_020728,SARSA,501,600,72,541,-108.39
20251202_020728,SARSA,601,700,81,622,-124.35
20251202_020728,SARSA,701,800,28,650,-57.36
20251202_020728,SARSA,801,900,23,673,-47.67
20251202_020728,SARSA,901,1000,13,686,-32.46
20251202_020728,SARSA,1001,1100,13,699,-32.02
20251202_020728,SARSA,1101,1200,5,704,-20.31
20251202_020728,SARSA,1201,1300,7,711,-21.03
20251202_020728,SARSA,1301,1400,3,714,-17.13
20251202_020728,SARSA,1401,1500,3,717,-17.0
20251202_020728,SARSA,1501,1600,4,721,-17.89
20251202_020728,SARSA,1601,1700,3,724,-16.96
20251202_020728,SARSA,1701,1800,1,725,-15.09
20251202_020728,SARSA,1801,1900,3,728,-17.04
20251202_020728,SARSA,1901,2000,1,729,-15.1
20251202_020728,SARSA,2001,2100,2,731,-16.62
20251202_020728,SARSA,2101,2200,3,734,-16.88
20251202_020728,SARSA,2201,2300,2,736,-15.97
20251202_020728,SARSA,2301,2400,6,742,-39.9
20251202_020728,SARSA,2401,2500,0,742,-21.33
20251202_020728,SARSA,2501,2600,1,743,-21.13
20251202_020728,SARSA,2601,2700,4,747,-24.08
20251202_020728,SARSA,2701,2800,0,747,-14.24
20251202_020728,SARSA,2801,2900,3,750,-17.05
20251202_020728,SARSA,2901,3000,2,752,-17.35
20251202_020728,SARSA,3001,3100,9,761,-24.29
20251202_020728,SARSA,3101,3200,2,763,-16.09
20251202_020728,SARSA,3201,3300,2,765,-16.05
20251202_020728,SARSA,3301,3400,2,767,-16.03
20251202_020728,SARSA,3401,3500,4,771,-19.82
20251202_020728,SARSA,3501,3600,3,774,-17.21
20251202_020728,SARSA,3601,3700,1,775,-15.16
20251202_020728,SARSA,3701,3800,3,778,-16.88
20251202_020728,SARSA,3801,3900,0,778,-14.16
20251202_020728,SARSA,3901,4000,2,780,-16.98
20251202_020728,SARSA,4001,4100,0,780,-14.04
20251202_020728,SARSA,4101,4200,2,782,-16.48
20251202_020728,SARSA,4201,4300,1,783,-15.11
20251202_020728,SARSA,4301,4400,0,783,-14.13
20251202_020728,SARSA,4401,4500,1,784,-15.06
20251202_020728,SARSA,4501,4600,2,786,-16.67
20251202_020728,SARSA,4601,4700,5,791,-22.47
20251202_020728,SARSA,4701,4800,1,792,-16.55
20251202_020728,SARSA,4801,4900,6,798,-23.04
20251202_020728,SARSA,4901,5000,4,802,-24.6
20251202_020728,SARSA,5001,5100,0,802,-20.1
20251202_020728,SARSA,5101,5200,0,802,-20.06
20251202_020728,SARSA,5201,5300,3,805,-25.24
20251202_020728,SARSA,5301,5400,0,805,-14.12
20251202_020728,SARSA,5401,5500,0,805,-14.12
20251202_020728,SARSA,5501,5600,3,808,-16.97
20251202_020728,SARSA,5601,5700,2,810,-15.96
20251202_020728,SARSA,5701,5800,2,812,-19.09
20251202_020728,SARSA,5801,5900,2,814,-16.02
20251202_020728,SARSA,5901,6000,2,816,-16.82
20251202_020728,SARSA,6001,6100,1,817,-15.2
20251202_020728,SARSA,6101,6200,1,818,-15.08
20251202_020728,SARSA,6201,6300,6,824,-34.88
20251202_020728,SARSA,6301,6400,2,826,-22.87
20251202_020728,SARSA,6401,6500,2,828,-16.42
20251202_020728,SARSA,6501,6600,2,830,-15.99
20251202_020728,SARSA,6601,6700,2,832,-15.87
20251202_020728,SARSA,6701,6800,1,833,-15.15
20251202_020728,SARSA,6801,6900,3,836,-17.52
20251202_020728,SARSA,6901,7000,4,840,-28.91
20251202_020728,SARSA,7001,7100,1,841,-17.11
20251202_020728,SARSA,7101,7200,4,845,-23.08
20251202_020728,SARSA,7201,7300,0,845,-16.21
20251202_020728,SARSA,7301,7400,0,845,-16.3
