run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251202_014006,Q-Learning,1,100,96,96,-109.9
20251202_014006,Q-Learning,101,200,94,190,-106.49
20251202_014006,Q-Learning,201,300,91,281,-104.27
20251202_014006,Q-Learning,301,400,81,362,-95.74
20251202_014006,Q-Learning,401,500,76,438,-90.18
20251202_014006,Q-Learning,501,600,75,513,-87.2
20251202_014006,Q-Learning,601,700,69,582,-79.31
20251202_014006,Q-Learning,701,800,63,645,-73.1
20251202_014006,Q-Learning,801,900,63,708,-72.93
20251202_014006,Q-Learning,901,1000,58,766,-66.58
20251202_014006,Q-Learning,1001,1100,53,819,-60.72
20251202_014006,Q-Learning,1101,1200,41,860,-49.44
20251202_014006,Q-Learning,1201,1300,47,907,-55.21
20251202_014006,Q-Learning,1301,1400,46,953,-52.55
20251202_014006,Q-Learning,1401,1500,45,998,-51.78
20251202_014006,Q-Learning,1501,1600,33,1031,-41.11
20251202_014006,Q-Learning,1601,1700,35,1066,-41.59
20251202_014006,Q-Learning,1701,1800,23,1089,-29.64
20251202_014006,Q-Learning,1801,1900,34,1123,-39.94
20251202_014006,Q-Learning,1901,2000,24,1147,-30.18
20251202_014006,Q-Learning,2001,2100,34,1181,-39.92
20251202_014006,Q-Learning,2101,2200,23,1204,-29.24
20251202_014006,Q-Learning,2201,2300,17,1221,-22.57
20251202_014006,Q-Learning,2301,2400,25,1246,-30.53
20251202_014006,Q-Learning,2401,2500,21,1267,-26.08
20251202_014006,Q-Learning,2501,2600,16,1283,-21.79
20251202_014006,Q-Learning,2601,2700,16,1299,-21.64
20251202_014006,Q-Learning,2701,2800,16,1315,-21.2
20251202_014006,Q-Learning,2801,2900,17,1332,-22.48
20251202_014006,Q-Learning,2901,3000,18,1350,-23.16
20251202_014006,Q-Learning,3001,3100,13,1363,-18.14
20251202_014006,Q-Learning,3101,3200,13,1376,-17.92
20251202_014006,Q-Learning,3201,3300,19,1395,-23.99
20251202_014006,Q-Learning,3301,3400,17,1412,-21.7
20251202_014006,Q-Learning,3401,3500,10,1422,-14.93
20251202_014006,Q-Learning,3501,3600,10,1432,-14.68
20251202_014006,Q-Learning,3601,3700,8,1440,-12.85
20251202_014006,Q-Learning,3701,3800,10,1450,-14.69
20251202_014006,Q-Learning,3801,3900,13,1463,-17.68
20251202_014006,Q-Learning,3901,4000,7,1470,-11.74
20251202_014006,Q-Learning,4001,4100,10,1480,-14.49
20251202_014006,Q-Learning,4101,4200,11,1491,-15.59
20251202_014006,Q-Learning,4201,4300,8,1499,-12.57
20251202_014006,Q-Learning,4301,4400,3,1502,-7.62
20251202_014006,Q-Learning,4401,4500,8,1510,-12.49
20251202_014006,Q-Learning,4501,4600,6,1516,-10.4
20251202_014006,Q-Learning,4601,4700,4,1520,-8.36
20251202_014006,Q-Learning,4701,4800,5,1525,-9.51
20251202_014006,Q-Learning,4801,4900,8,1533,-12.44
20251202_014006,Q-Learning,4901,5000,3,1536,-7.6
20251202_014006,Q-Learning,5001,5100,9,1545,-13.53
20251202_014006,Q-Learning,5101,5200,8,1553,-12.38
20251202_014006,Q-Learning,5201,5300,3,1556,-7.28
20251202_014006,Q-Learning,5301,5400,8,1564,-12.36
20251202_014006,Q-Learning,5401,5500,5,1569,-9.45
20251202_014006,Q-Learning,5501,5600,5,1574,-9.39
20251202_014006,Q-Learning,5601,5700,3,1577,-7.63
20251202_014006,Q-Learning,5701,5800,5,1582,-9.49
20251202_014006,Q-Learning,5801,5900,7,1589,-11.35
20251202_014006,Q-Learning,5901,6000,11,1600,-15.44
20251202_014006,Q-Learning,6001,6100,1,1601,-5.4
20251202_014006,Q-Learning,6101,6200,7,1608,-11.24
20251202_014006,Q-Learning,6201,6300,9,1617,-13.51
20251202_014006,Q-Learning,6301,6400,9,1626,-13.29
20251202_014006,Q-Learning,6401,6500,5,1631,-9.56
20251202_014006,Q-Learning,6501,6600,5,1636,-9.62
20251202_014006,Q-Learning,6601,6700,3,1639,-7.5
20251202_014006,Q-Learning,6701,6800,5,1644,-9.43
20251202_014006,Q-Learning,6801,6900,3,1647,-7.62
20251202_014006,Q-Learning,6901,7000,3,1650,-7.52
20251202_014006,Q-Learning,7001,7100,6,1656,-10.45
20251202_014006,Q-Learning,7101,7200,3,1659,-7.42
20251202_014006,Q-Learning,7201,7300,6,1665,-10.39
20251202_014006,Q-Learning,7301,7400,3,1668,-7.74
20251202_014006,Q-Learning,7401,7500,13,1681,-17.31
20251202_014006,Q-Learning,7501,7600,3,1684,-7.6
20251202_014006,Q-Learning,7601,7700,7,1691,-11.22
20251202_014006,Q-Learning,7701,7800,3,1694,-7.35
20251202_014006,Q-Learning,7801,7900,5,1699,-9.42
20251202_014006,Q-Learning,7901,8000,3,1702,-7.53
20251202_014006,Q-Learning,8001,8100,6,1708,-10.61
20251202_014006,Q-Learning,8101,8200,2,1710,-6.46
20251202_014006,Q-Learning,8201,8300,8,1718,-12.39
20251202_014006,Q-Learning,8301,8400,8,1726,-12.37
20251202_014006,Q-Learning,8401,8500,6,1732,-10.72
20251202_014006,Q-Learning,8501,8600,4,1736,-8.44
20251202_014006,Q-Learning,8601,8700,6,1742,-10.44
20251202_014006,Q-Learning,8701,8800,4,1746,-8.58
20251202_014006,Q-Learning,8801,8900,6,1752,-10.42
20251202_014006,Q-Learning,8901,9000,5,1757,-9.54
20251202_014006,Q-Learning,9001,9100,5,1762,-9.46
20251202_014006,Q-Learning,9101,9200,12,1774,-16.38
20251202_014006,Q-Learning,9201,9300,5,1779,-9.5
20251202_014006,Q-Learning,9301,9400,7,1786,-11.38
20251202_014006,Q-Learning,9401,9500,3,1789,-7.28
20251202_014006,Q-Learning,9501,9600,4,1793,-8.3
20251202_014006,Q-Learning,9601,9700,2,1795,-6.5
20251202_014006,Q-Learning,9701,9800,7,1802,-11.36
20251202_014006,Q-Learning,9801,9900,2,1804,-6.58
20251202_014006,Q-Learning,9901,10000,7,1811,-11.35
20251202_014006,Q-Learning,10001,10100,4,1815,-8.45
20251202_014006,Q-Learning,10101,10200,8,1823,-12.26
20251202_014006,Q-Learning,10201,10300,4,1827,-8.42
20251202_014006,Q-Learning,10301,10400,6,1833,-10.43
20251202_014006,Q-Learning,10401,10500,4,1837,-8.48
20251202_014006,Q-Learning,10501,10600,2,1839,-6.54
20251202_014006,Q-Learning,10601,10700,6,1845,-10.36
20251202_014006,Q-Learning,10701,10800,7,1852,-11.35
20251202_014006,Q-Learning,10801,10900,3,1855,-7.43
20251202_014006,Q-Learning,10901,11000,7,1862,-11.51
20251202_014006,Q-Learning,11001,11100,5,1867,-9.52
20251202_014006,Q-Learning,11101,11200,7,1874,-11.38
20251202_014006,Q-Learning,11201,11300,9,1883,-13.38
20251202_014006,Q-Learning,11301,11400,5,1888,-9.4
20251202_014006,Q-Learning,11401,11500,6,1894,-10.34
20251202_014006,Q-Learning,11501,11600,4,1898,-8.71
20251202_014006,Q-Learning,11601,11700,7,1905,-11.38
20251202_014006,Q-Learning,11701,11800,4,1909,-8.67
20251202_014006,Q-Learning,11801,11900,6,1915,-10.4
20251202_014006,Q-Learning,11901,12000,7,1922,-11.39
20251202_014006,Q-Learning,12001,12100,3,1925,-7.3
20251202_014006,Q-Learning,12101,12200,4,1929,-8.48
20251202_014006,Q-Learning,12201,12300,3,1932,-7.63
20251202_014006,Q-Learning,12301,12400,7,1939,-11.54
20251202_014006,Q-Learning,12401,12500,5,1944,-9.56
20251202_014006,Q-Learning,12501,12600,10,1954,-14.49
20251202_014006,Q-Learning,12601,12700,8,1962,-12.47
20251202_014006,Q-Learning,12701,12800,3,1965,-7.55
20251202_014006,Q-Learning,12801,12900,3,1968,-7.49
20251202_014006,Q-Learning,12901,13000,7,1975,-11.4
20251202_014006,Q-Learning,13001,13100,8,1983,-12.52
20251202_014006,Q-Learning,13101,13200,8,1991,-12.25
20251202_014006,Q-Learning,13201,13300,9,2000,-13.51
20251202_014006,Q-Learning,13301,13400,3,2003,-7.47
20251202_014006,Q-Learning,13401,13500,6,2009,-10.49
20251202_014006,Q-Learning,13501,13600,3,2012,-7.55
20251202_014006,Q-Learning,13601,13700,7,2019,-11.31
20251202_014006,Q-Learning,13701,13800,4,2023,-8.45
20251202_014006,Q-Learning,13801,13900,1,2024,-5.66
20251202_014006,Q-Learning,13901,14000,7,2031,-11.46
20251202_014006,Q-Learning,14001,14100,5,2036,-9.44
20251202_014006,Q-Learning,14101,14200,3,2039,-7.4
20251202_014006,Q-Learning,14201,14300,7,2046,-11.47
20251202_014006,Q-Learning,14301,14400,0,2046,-4.55
20251202_014006,Q-Learning,14401,14500,1,2047,-5.46
20251202_014006,Q-Learning,14501,14600,7,2054,-11.61
20251202_014006,Q-Learning,14601,14700,3,2057,-7.63
20251202_014006,Q-Learning,14701,14800,3,2060,-7.51
20251202_014006,Q-Learning,14801,14900,4,2064,-8.33
