run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251202_014006,SARSA,1,100,97,97,-109.84
20251202_014006,SARSA,101,200,97,194,-117.5
20251202_014006,SARSA,201,300,99,293,-120.46
20251202_014006,SARSA,301,400,95,388,-117.66
20251202_014006,SARSA,401,500,92,480,-116.5
20251202_014006,SARSA,501,600,92,572,-134.5
20251202_014006,SARSA,601,700,87,659,-133.51
20251202_014006,SARSA,701,800,90,749,-133.41
20251202_014006,SARSA,801,900,74,823,-169.87
20251202_014006,SARSA,901,1000,84,907,-140.54
20251202_014006,SARSA,1001,1100,90,997,-164.14
20251202_014006,SARSA,1101,1200,67,1064,-226.6
20251202_014006,SARSA,1201,1300,81,1145,-195.44
20251202_014006,SARSA,1301,1400,78,1223,-211.21
20251202_014006,SARSA,1401,1500,59,1282,-241.7
20251202_014006,SARSA,1501,1600,68,1350,-217.73
20251202_014006,SARSA,1601,1700,69,1419,-216.35
20251202_014006,SARSA,1701,1800,54,1473,-266.43
20251202_014006,SARSA,1801,1900,36,1509,-254.35
20251202_014006,SARSA,1901,2000,47,1556,-309.02
20251202_014006,SARSA,2001,2100,27,1583,-361.78
20251202_014006,SARSA,2101,2200,30,1613,-371.45
20251202_014006,SARSA,2201,2300,55,1668,-260.84
20251202_014006,SARSA,2301,2400,42,1710,-338.65
20251202_014006,SARSA,2401,2500,53,1763,-320.93
20251202_014006,SARSA,2501,2600,43,1806,-331.25
20251202_014006,SARSA,2601,2700,49,1855,-320.75
20251202_014006,SARSA,2701,2800,35,1890,-311.63
20251202_014006,SARSA,2801,2900,41,1931,-368.66
20251202_014006,SARSA,2901,3000,50,1981,-350.37
20251202_014006,SARSA,3001,3100,37,2018,-270.61
20251202_014006,SARSA,3101,3200,46,2064,-349.14
20251202_014006,SARSA,3201,3300,41,2105,-390.64
20251202_014006,SARSA,3301,3400,33,2138,-226.17
20251202_014006,SARSA,3401,3500,25,2163,-413.3
20251202_014006,SARSA,3501,3600,27,2190,-227.08
20251202_014006,SARSA,3601,3700,19,2209,-348.44
20251202_014006,SARSA,3701,3800,25,2234,-356.22
20251202_014006,SARSA,3801,3900,20,2254,-436.15
20251202_014006,SARSA,3901,4000,36,2290,-382.46
20251202_014006,SARSA,4001,4100,18,2308,-357.97
20251202_014006,SARSA,4101,4200,23,2331,-301.41
20251202_014006,SARSA,4201,4300,30,2361,-418.09
20251202_014006,SARSA,4301,4400,11,2372,-471.66
20251202_014006,SARSA,4401,4500,6,2378,-475.34
20251202_014006,SARSA,4501,4600,12,2390,-453.97
20251202_014006,SARSA,4601,4700,10,2400,-247.98
20251202_014006,SARSA,4701,4800,13,2413,-463.41
20251202_014006,SARSA,4801,4900,8,2421,-465.81
20251202_014006,SARSA,4901,5000,11,2432,-399.84
20251202_014006,SARSA,5001,5100,16,2448,-407.37
20251202_014006,SARSA,5101,5200,9,2457,-85.3
20251202_014006,SARSA,5201,5300,24,2481,-386.82
