run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251202_014917,SARSA,1,100,99,99,-102.32
20251202_014917,SARSA,101,200,100,199,-103.5
20251202_014917,SARSA,201,300,100,299,-104.46
20251202_014917,SARSA,301,400,100,399,-104.91
20251202_014917,SARSA,401,500,100,499,-104.24
20251202_014917,SARSA,501,600,100,599,-105.85
20251202_014917,SARSA,601,700,100,699,-106.23
20251202_014917,SARSA,701,800,100,799,-107.37
20251202_014917,SARSA,801,900,100,899,-107.59
20251202_014917,SARSA,901,1000,100,999,-108.45
20251202_014917,SARSA,1001,1100,100,1099,-106.65
20251202_014917,SARSA,1101,1200,100,1199,-108.14
20251202_014917,SARSA,1201,1300,100,1299,-110.84
20251202_014917,SARSA,1301,1400,99,1398,-112.84
20251202_014917,SARSA,1401,1500,98,1496,-113.42
20251202_014917,SARSA,1501,1600,100,1596,-123.95
20251202_014917,SARSA,1601,1700,100,1696,-137.0
20251202_014917,SARSA,1701,1800,99,1795,-138.13
20251202_014917,SARSA,1801,1900,100,1895,-136.94
20251202_014917,SARSA,1901,2000,99,1994,-133.6
20251202_014917,SARSA,2001,2100,100,2094,-132.06
20251202_014917,SARSA,2101,2200,98,2192,-150.68
20251202_014917,SARSA,2201,2300,98,2290,-140.26
20251202_014917,SARSA,2301,2400,100,2390,-154.29
20251202_014917,SARSA,2401,2500,95,2485,-202.72
20251202_014917,SARSA,2501,2600,98,2583,-161.52
20251202_014917,SARSA,2601,2700,95,2678,-184.56
20251202_014917,SARSA,2701,2800,93,2771,-188.64
20251202_014917,SARSA,2801,2900,95,2866,-174.6
20251202_014917,SARSA,2901,3000,91,2957,-185.12
20251202_014917,SARSA,3001,3100,91,3048,-207.76
20251202_014917,SARSA,3101,3200,90,3138,-233.78
20251202_014917,SARSA,3201,3300,85,3223,-244.8
20251202_014917,SARSA,3301,3400,80,3303,-261.96
20251202_014917,SARSA,3401,3500,82,3385,-230.48
20251202_014917,SARSA,3501,3600,74,3459,-285.39
20251202_014917,SARSA,3601,3700,75,3534,-265.23
20251202_014917,SARSA,3701,3800,76,3610,-269.95
20251202_014917,SARSA,3801,3900,80,3690,-242.44
20251202_014917,SARSA,3901,4000,78,3768,-279.89
20251202_014917,SARSA,4001,4100,65,3833,-352.02
20251202_014917,SARSA,4101,4200,80,3913,-227.97
20251202_014917,SARSA,4201,4300,60,3973,-319.26
20251202_014917,SARSA,4301,4400,70,4043,-281.39
20251202_014917,SARSA,4401,4500,67,4110,-310.23
20251202_014917,SARSA,4501,4600,61,4171,-326.55
20251202_014917,SARSA,4601,4700,53,4224,-344.95
20251202_014917,SARSA,4701,4800,55,4279,-338.83
20251202_014917,SARSA,4801,4900,76,4355,-260.26
20251202_014917,SARSA,4901,5000,60,4415,-332.74
20251202_014917,SARSA,5001,5100,70,4485,-304.32
20251202_014917,SARSA,5101,5200,54,4539,-386.4
20251202_014917,SARSA,5201,5300,58,4597,-359.0
20251202_014917,SARSA,5301,5400,59,4656,-357.02
20251202_014917,SARSA,5401,5500,70,4726,-261.43
20251202_014917,SARSA,5501,5600,59,4785,-319.05
20251202_014917,SARSA,5601,5700,64,4849,-317.96
20251202_014917,SARSA,5701,5800,67,4916,-315.95
20251202_014917,SARSA,5801,5900,72,4988,-336.87
20251202_014917,SARSA,5901,6000,57,5045,-343.39
20251202_014917,SARSA,6001,6100,61,5106,-339.52
20251202_014917,SARSA,6101,6200,68,5174,-334.33
20251202_014917,SARSA,6201,6300,61,5235,-328.7
20251202_014917,SARSA,6301,6400,62,5297,-309.41
20251202_014917,SARSA,6401,6500,50,5347,-373.86
20251202_014917,SARSA,6501,6600,70,5417,-314.87
20251202_014917,SARSA,6601,6700,55,5472,-373.33
20251202_014917,SARSA,6701,6800,67,5539,-346.0
20251202_014917,SARSA,6801,6900,60,5599,-352.89
20251202_014917,SARSA,6901,7000,58,5657,-334.21
20251202_014917,SARSA,7001,7100,54,5711,-350.32
20251202_014917,SARSA,7101,7200,62,5773,-324.38
20251202_014917,SARSA,7201,7300,63,5836,-355.05
20251202_014917,SARSA,7301,7400,56,5892,-352.79
20251202_014917,SARSA,7401,7500,59,5951,-340.91
20251202_014917,SARSA,7501,7600,63,6014,-330.18
20251202_014917,SARSA,7601,7700,69,6083,-329.35
20251202_014917,SARSA,7701,7800,51,6134,-357.91
20251202_014917,SARSA,7801,7900,64,6198,-323.43
20251202_014917,SARSA,7901,8000,71,6269,-307.29
20251202_014917,SARSA,8001,8100,52,6321,-350.89
20251202_014917,SARSA,8101,8200,56,6377,-344.3
20251202_014917,SARSA,8201,8300,58,6435,-357.8
20251202_014917,SARSA,8301,8400,62,6497,-300.2
20251202_014917,SARSA,8401,8500,59,6556,-286.33
20251202_014917,SARSA,8501,8600,68,6624,-310.63
20251202_014917,SARSA,8601,8700,51,6675,-366.58
20251202_014917,SARSA,8701,8800,65,6740,-320.57
20251202_014917,SARSA,8801,8900,53,6793,-352.79
20251202_014917,SARSA,8901,9000,69,6862,-294.74
20251202_014917,SARSA,9001,9100,68,6930,-314.31
20251202_014917,SARSA,9101,9200,62,6992,-338.81
20251202_014917,SARSA,9201,9300,58,7050,-350.96
