run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251122_111537,Q-Learning,1,100,100,100,-102.78
20251122_111537,Q-Learning,101,200,100,200,-104.78
20251122_111537,Q-Learning,201,300,100,300,-104.41
20251122_111537,Q-Learning,301,400,100,400,-105.69
20251122_111537,Q-Learning,401,500,98,498,-103.58
20251122_111537,Q-Learning,501,600,100,598,-106.47
20251122_111537,Q-Learning,601,700,98,696,-103.82
20251122_111537,Q-Learning,701,800,92,788,-98.74
20251122_111537,Q-Learning,801,900,85,873,-92.6
20251122_111537,Q-Learning,901,1000,88,961,-93.69
20251122_111537,Q-Learning,1001,1100,78,1039,-83.98
20251122_111537,Q-Learning,1101,1200,80,1119,-86.54
20251122_111537,Q-Learning,1201,1300,66,1185,-72.42
20251122_111537,Q-Learning,1301,1400,62,1247,-68.44
20251122_111537,Q-Learning,1401,1500,61,1308,-67.77
20251122_111537,Q-Learning,1501,1600,64,1372,-70.33
20251122_111537,Q-Learning,1601,1700,52,1424,-59.11
20251122_111537,Q-Learning,1701,1800,49,1473,-56.23
20251122_111537,Q-Learning,1801,1900,41,1514,-48.27
20251122_111537,Q-Learning,1901,2000,35,1549,-42.22
20251122_111537,Q-Learning,2001,2100,46,1595,-52.86
20251122_111537,Q-Learning,2101,2200,24,1619,-31.72
20251122_111537,Q-Learning,2201,2300,38,1657,-44.88
20251122_111537,Q-Learning,2301,2400,30,1687,-37.51
20251122_111537,Q-Learning,2401,2500,22,1709,-29.53
20251122_111537,Q-Learning,2501,2600,24,1733,-31.71
20251122_111537,Q-Learning,2601,2700,19,1752,-26.94
20251122_111537,Q-Learning,2701,2800,19,1771,-26.54
20251122_111537,Q-Learning,2801,2900,17,1788,-24.35
20251122_111537,Q-Learning,2901,3000,20,1808,-27.81
20251122_111537,Q-Learning,3001,3100,21,1829,-28.54
20251122_111537,Q-Learning,3101,3200,16,1845,-23.99
20251122_111537,Q-Learning,3201,3300,17,1862,-24.72
20251122_111537,Q-Learning,3301,3400,17,1879,-24.92
20251122_111537,Q-Learning,3401,3500,23,1902,-30.47
20251122_111537,Q-Learning,3501,3600,20,1922,-27.75
