run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251122_111540,SARSA,1,100,100,100,-103.43
20251122_111540,SARSA,101,200,99,199,-107.2
20251122_111540,SARSA,201,300,100,299,-115.49
20251122_111540,SARSA,301,400,97,396,-127.0
20251122_111540,SARSA,401,500,79,475,-100.8
20251122_111540,SARSA,501,600,64,539,-96.26
20251122_111540,SARSA,601,700,48,587,-79.33
20251122_111540,SARSA,701,800,52,639,-96.23
20251122_111540,SARSA,801,900,44,683,-89.63
20251122_111540,SARSA,901,1000,17,700,-25.0
20251122_111540,SARSA,1001,1100,19,719,-26.74
20251122_111540,SARSA,1101,1200,6,725,-14.03
20251122_111540,SARSA,1201,1300,9,734,-17.73
20251122_111540,SARSA,1301,1400,10,744,-17.97
20251122_111540,SARSA,1401,1500,13,757,-21.84
20251122_111540,SARSA,1501,1600,3,760,-11.07
20251122_111540,SARSA,1601,1700,9,769,-16.91
20251122_111540,SARSA,1701,1800,4,773,-11.83
20251122_111540,SARSA,1801,1900,7,780,-14.82
20251122_111540,SARSA,1901,2000,0,780,-8.11
20251122_111540,SARSA,2001,2100,15,795,-33.39
20251122_111540,SARSA,2101,2200,9,804,-19.31
20251122_111540,SARSA,2201,2300,13,817,-41.46
20251122_111540,SARSA,2301,2400,2,819,-20.19
20251122_111540,SARSA,2401,2500,10,829,-29.74
20251122_111540,SARSA,2501,2600,5,834,-23.02
20251122_111540,SARSA,2601,2700,5,839,-23.28
20251122_111540,SARSA,2701,2800,8,847,-35.96
20251122_111540,SARSA,2801,2900,11,858,-32.63
20251122_111540,SARSA,2901,3000,3,861,-21.26
20251122_111540,SARSA,3001,3100,3,864,-21.17
20251122_111540,SARSA,3101,3200,5,869,-23.38
20251122_111540,SARSA,3201,3300,4,873,-24.11
20251122_111540,SARSA,3301,3400,5,878,-23.83
20251122_111540,SARSA,3401,3500,6,884,-25.72
20251122_111540,SARSA,3501,3600,5,889,-30.08
20251122_111540,SARSA,3601,3700,3,892,-19.29
20251122_111540,SARSA,3701,3800,3,895,-18.78
20251122_111540,SARSA,3801,3900,3,898,-19.42
20251122_111540,SARSA,3901,4000,2,900,-18.53
20251122_111540,SARSA,4001,4100,6,906,-22.7
20251122_111540,SARSA,4101,4200,2,908,-18.28
20251122_111540,SARSA,4201,4300,8,916,-24.15
20251122_111540,SARSA,4301,4400,3,919,-19.28
20251122_111540,SARSA,4401,4500,5,924,-20.8
20251122_111540,SARSA,4501,4600,2,926,-18.05
20251122_111540,SARSA,4601,4700,0,926,-16.23
20251122_111540,SARSA,4701,4800,5,931,-24.28
20251122_111540,SARSA,4801,4900,5,936,-25.06
20251122_111540,SARSA,4901,5000,21,957,-99.76
20251122_111540,SARSA,5001,5100,3,960,-19.06
20251122_111540,SARSA,5101,5200,5,965,-20.87
20251122_111540,SARSA,5201,5300,1,966,-17.12
20251122_111540,SARSA,5301,5400,3,969,-19.28
20251122_111540,SARSA,5401,5500,2,971,-21.22
20251122_111540,SARSA,5501,5600,7,978,-22.79
20251122_111540,SARSA,5601,5700,3,981,-19.55
20251122_111540,SARSA,5701,5800,5,986,-24.84
20251122_111540,SARSA,5801,5900,4,990,-24.85
20251122_111540,SARSA,5901,6000,8,998,-31.39
20251122_111540,SARSA,6001,6100,4,1002,-24.66
20251122_111540,SARSA,6101,6200,5,1007,-22.92
20251122_111540,SARSA,6201,6300,3,1010,-28.16
20251122_111540,SARSA,6301,6400,4,1014,-30.78
20251122_111540,SARSA,6401,6500,3,1017,-22.89
20251122_111540,SARSA,6501,6600,6,1023,-25.94
20251122_111540,SARSA,6601,6700,1,1024,-17.16
20251122_111540,SARSA,6701,6800,3,1027,-19.64
20251122_111540,SARSA,6801,6900,9,1036,-33.6
20251122_111540,SARSA,6901,7000,4,1040,-19.77
20251122_111540,SARSA,7001,7100,1,1041,-17.31
20251122_111540,SARSA,7101,7200,1,1042,-17.38
20251122_111540,SARSA,7201,7300,10,1052,-65.75
20251122_111540,SARSA,7301,7400,5,1057,-20.85
20251122_111540,SARSA,7401,7500,1,1058,-17.42
20251122_111540,SARSA,7501,7600,5,1063,-23.57
20251122_111540,SARSA,7601,7700,4,1067,-20.13
20251122_111540,SARSA,7701,7800,3,1070,-20.55
20251122_111540,SARSA,7801,7900,4,1074,-23.06
20251122_111540,SARSA,7901,8000,5,1079,-25.9
20251122_111540,SARSA,8001,8100,4,1083,-19.97
20251122_111540,SARSA,8101,8200,8,1091,-29.7
20251122_111540,SARSA,8201,8300,2,1093,-18.42
20251122_111540,SARSA,8301,8400,3,1096,-19.88
20251122_111540,SARSA,8401,8500,4,1100,-20.04
20251122_111540,SARSA,8501,8600,5,1105,-21.95
20251122_111540,SARSA,8601,8700,9,1114,-37.98
20251122_111540,SARSA,8701,8800,3,1117,-40.18
20251122_111540,SARSA,8801,8900,2,1119,-18.76
20251122_111540,SARSA,8901,9000,3,1122,-18.98
20251122_111540,SARSA,9001,9100,2,1124,-18.67
20251122_111540,SARSA,9101,9200,7,1131,-27.3
20251122_111540,SARSA,9201,9300,15,1146,-72.71
20251122_111540,SARSA,9301,9400,5,1151,-20.75
20251122_111540,SARSA,9401,9500,6,1157,-21.67
20251122_111540,SARSA,9501,9600,6,1163,-22.18
20251122_111540,SARSA,9601,9700,4,1167,-22.27
20251122_111540,SARSA,9701,9800,8,1175,-23.33
20251122_111540,SARSA,9801,9900,5,1180,-35.65
20251122_111540,SARSA,9901,10000,7,1187,-27.56
20251122_111713,SARSA,1,100,100,100,-103.1
20251122_111713,SARSA,101,200,100,200,-103.72
20251122_111713,SARSA,201,300,100,300,-105.4
20251122_111713,SARSA,301,400,100,400,-106.0
20251122_111713,SARSA,401,500,98,498,-109.32
20251122_111713,SARSA,501,600,100,598,-109.4
20251122_111713,SARSA,601,700,99,697,-110.31
20251122_111713,SARSA,701,800,98,795,-114.84
20251122_111713,SARSA,801,900,94,889,-124.36
20251122_111713,SARSA,901,1000,99,988,-124.35
20251122_111713,SARSA,1001,1100,97,1085,-177.87
20251122_111713,SARSA,1101,1200,87,1172,-200.5
20251122_111713,SARSA,1201,1300,77,1249,-252.67
20251122_111713,SARSA,1301,1400,74,1323,-208.46
20251122_111713,SARSA,1401,1500,64,1387,-322.12
20251122_111713,SARSA,1501,1600,67,1454,-312.03
20251122_111713,SARSA,1601,1700,60,1514,-338.47
20251122_111713,SARSA,1701,1800,59,1573,-322.9
20251122_111713,SARSA,1801,1900,47,1620,-352.82
20251122_111713,SARSA,1901,2000,52,1672,-292.24
20251122_111713,SARSA,2001,2100,34,1706,-398.15
