run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251202_015525,SARSA,1,100,100,100,-115.91
20251202_015525,SARSA,101,200,100,200,-118.08
20251202_015525,SARSA,201,300,100,300,-120.68
20251202_015525,SARSA,301,400,100,400,-125.08
20251202_015525,SARSA,401,500,100,500,-128.69
20251202_015525,SARSA,501,600,100,600,-130.09
20251202_015525,SARSA,601,700,100,700,-135.49
20251202_015525,SARSA,701,800,100,800,-139.69
20251202_015525,SARSA,801,900,100,900,-153.34
20251202_015525,SARSA,901,1000,100,1000,-160.22
20251202_015525,SARSA,1001,1100,100,1100,-157.87
20251202_015525,SARSA,1101,1200,98,1198,-161.68
20251202_015525,SARSA,1201,1300,100,1298,-174.83
20251202_015525,SARSA,1301,1400,100,1398,-184.25
20251202_015525,SARSA,1401,1500,98,1496,-196.26
20251202_015525,SARSA,1501,1600,98,1594,-201.43
20251202_015525,SARSA,1601,1700,100,1694,-204.63
20251202_015525,SARSA,1701,1800,97,1791,-230.9
20251202_015525,SARSA,1801,1900,96,1887,-236.0
20251202_015525,SARSA,1901,2000,94,1981,-255.93
20251202_015525,SARSA,2001,2100,86,2067,-248.03
20251202_015525,SARSA,2101,2200,83,2150,-300.52
20251202_015525,SARSA,2201,2300,82,2232,-299.08
20251202_015525,SARSA,2301,2400,86,2318,-299.37
20251202_015525,SARSA,2401,2500,75,2393,-309.3
20251202_015525,SARSA,2501,2600,68,2461,-338.69
20251202_015525,SARSA,2601,2700,68,2529,-335.58
20251202_015525,SARSA,2701,2800,64,2593,-369.4
20251202_015525,SARSA,2801,2900,78,2671,-333.35
20251202_015525,SARSA,2901,3000,55,2726,-376.49
20251202_015525,SARSA,3001,3100,68,2794,-342.26
20251202_015525,SARSA,3101,3200,44,2838,-411.2
20251202_015525,SARSA,3201,3300,54,2892,-384.02
20251202_015525,SARSA,3301,3400,44,2936,-394.74
20251202_015525,SARSA,3401,3500,51,2987,-397.92
20251202_015525,SARSA,3501,3600,35,3022,-430.11
20251202_015525,SARSA,3601,3700,36,3058,-430.76
20251202_015525,SARSA,3701,3800,25,3083,-455.29
20251202_015525,SARSA,3801,3900,26,3109,-448.04
20251202_015525,SARSA,3901,4000,24,3133,-446.9
20251202_015525,SARSA,4001,4100,24,3157,-440.71
20251202_015525,SARSA,4101,4200,25,3182,-455.1
20251202_015525,SARSA,4201,4300,14,3196,-488.36
20251202_015525,SARSA,4301,4400,22,3218,-450.69
20251202_015525,SARSA,4401,4500,19,3237,-456.02
20251202_015525,SARSA,4501,4600,24,3261,-456.51
20251202_015525,SARSA,4601,4700,15,3276,-468.53
20251202_015525,SARSA,4701,4800,8,3284,-480.98
20251202_015525,SARSA,4801,4900,12,3296,-477.68
20251202_015525,SARSA,4901,5000,22,3318,-464.02
20251202_015525,SARSA,5001,5100,16,3334,-468.9
20251202_015525,SARSA,5101,5200,20,3354,-460.84
20251202_015525,SARSA,5201,5300,15,3369,-470.2
20251202_015525,SARSA,5301,5400,12,3381,-475.28
20251202_015525,SARSA,5401,5500,15,3396,-476.01
20251202_015525,SARSA,5501,5600,23,3419,-453.28
20251202_015525,SARSA,5601,5700,28,3447,-451.86
20251202_015525,SARSA,5701,5800,13,3460,-478.94
20251202_015525,SARSA,5801,5900,21,3481,-475.45
20251202_015525,SARSA,5901,6000,22,3503,-455.33
20251202_015525,SARSA,6001,6100,49,3552,-382.88
20251202_015525,SARSA,6101,6200,19,3571,-475.0
20251202_015525,SARSA,6201,6300,18,3589,-465.11
20251202_015525,SARSA,6301,6400,32,3621,-435.66
20251202_015525,SARSA,6401,6500,14,3635,-475.66
20251202_015525,SARSA,6501,6600,15,3650,-460.72
20251202_015525,SARSA,6601,6700,16,3666,-466.87
20251202_015525,SARSA,6701,6800,20,3686,-474.77
20251202_015525,SARSA,6801,6900,17,3703,-459.57
20251202_015525,SARSA,6901,7000,25,3728,-448.01
