run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251130_222701,Q-Learning,1,100,91,91,-104.39
20251130_222701,Q-Learning,101,200,72,163,-83.54
20251130_222701,Q-Learning,201,300,48,211,-65.0
20251130_222701,Q-Learning,301,400,29,240,-39.75
20251130_222701,Q-Learning,401,500,13,253,-19.53
20251130_222701,Q-Learning,501,600,9,262,-16.79
20251130_222701,Q-Learning,601,700,9,271,-13.62
20251130_222701,Q-Learning,701,800,3,274,-7.47
20251130_222701,Q-Learning,801,900,5,279,-9.21
20251130_222701,Q-Learning,901,1000,7,286,-11.15
20251130_222701,Q-Learning,1001,1100,2,288,-6.22
20251130_222701,Q-Learning,1101,1200,0,288,-4.14
20251130_222701,Q-Learning,1201,1300,2,290,-6.09
20251130_222701,Q-Learning,1301,1400,2,292,-6.09
20251130_222701,Q-Learning,1401,1500,2,294,-8.75
20251130_222701,Q-Learning,1501,1600,1,295,-5.07
20251130_222701,Q-Learning,1601,1700,0,295,-4.12
20251130_222701,Q-Learning,1701,1800,2,297,-6.06
20251130_222701,Q-Learning,1801,1900,2,299,-6.06
20251130_222701,Q-Learning,1901,2000,0,299,-4.11
20251130_222701,Q-Learning,2001,2100,2,301,-6.06
20251130_222701,Q-Learning,2101,2200,1,302,-5.04
20251130_222701,Q-Learning,2201,2300,2,304,-6.08
20251130_222701,Q-Learning,2301,2400,0,304,-4.13
20251130_222701,Q-Learning,2401,2500,2,306,-6.01
20251130_222701,Q-Learning,2501,2600,0,306,-4.1
20251130_222701,Q-Learning,2601,2700,0,306,-4.22
20251130_222701,Q-Learning,2701,2800,0,306,-4.11
20251130_222701,Q-Learning,2801,2900,0,306,-4.13
20251130_222701,Q-Learning,2901,3000,3,309,-7.07
20251130_222701,Q-Learning,3001,3100,1,310,-5.08
20251130_222701,Q-Learning,3101,3200,1,311,-5.07
20251130_222701,Q-Learning,3201,3300,0,311,-4.09
20251130_222701,Q-Learning,3301,3400,1,312,-5.11
20251130_222701,Q-Learning,3401,3500,1,313,-5.06
20251130_222701,Q-Learning,3501,3600,3,316,-7.08
20251130_222701,Q-Learning,3601,3700,0,316,-4.13
20251130_222701,Q-Learning,3701,3800,0,316,-4.11
20251130_222701,Q-Learning,3801,3900,0,316,-4.29
20251130_222701,Q-Learning,3901,4000,2,318,-6.03
20251130_222701,Q-Learning,4001,4100,2,320,-6.05
20251130_222701,Q-Learning,4101,4200,1,321,-5.13
20251130_222701,Q-Learning,4201,4300,3,324,-7.06
20251130_222701,Q-Learning,4301,4400,2,326,-6.08
20251130_222701,Q-Learning,4401,4500,0,326,-4.09
20251130_222701,Q-Learning,4501,4600,2,328,-6.07
20251130_222701,Q-Learning,4601,4700,2,330,-6.1
20251130_222701,Q-Learning,4701,4800,0,330,-4.04
20251130_222701,Q-Learning,4801,4900,1,331,-5.1
20251130_222701,Q-Learning,4901,5000,1,332,-5.12
20251130_222701,Q-Learning,5001,5100,2,334,-6.1
20251130_222701,Q-Learning,5101,5200,2,336,-6.01
20251130_222701,Q-Learning,5201,5300,0,336,-4.12
20251130_222701,Q-Learning,5301,5400,2,338,-6.06
20251130_222701,Q-Learning,5401,5500,3,341,-7.12
