run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251130_222701,SARSA,1,100,90,90,-109.59
20251130_222701,SARSA,101,200,85,175,-166.63
20251130_222701,SARSA,201,300,60,235,-165.64
20251130_222701,SARSA,301,400,17,252,-45.58
20251130_222701,SARSA,401,500,8,260,-48.02
20251130_222701,SARSA,501,600,7,267,-21.26
20251130_222701,SARSA,601,700,8,275,-19.82
20251130_222701,SARSA,701,800,5,280,-11.45
20251130_222701,SARSA,801,900,10,290,-17.57
20251130_222701,SARSA,901,1000,0,290,-4.66
20251130_222701,SARSA,1001,1100,4,294,-11.8
20251130_222701,SARSA,1101,1200,0,294,-4.2
20251130_222701,SARSA,1201,1300,2,296,-6.33
20251130_222701,SARSA,1301,1400,1,297,-5.97
20251130_222701,SARSA,1401,1500,1,298,-5.97
20251130_222701,SARSA,1501,1600,0,298,-4.41
20251130_222701,SARSA,1601,1700,1,299,-5.86
20251130_222701,SARSA,1701,1800,0,299,-4.08
20251130_222701,SARSA,1801,1900,0,299,-4.18
20251130_222701,SARSA,1901,2000,0,299,-4.04
20251130_222701,SARSA,2001,2100,2,301,-7.2
20251130_222701,SARSA,2101,2200,3,304,-9.33
20251130_222701,SARSA,2201,2300,2,306,-6.23
20251130_222701,SARSA,2301,2400,0,306,-4.08
20251130_222701,SARSA,2401,2500,2,308,-8.81
20251130_222701,SARSA,2501,2600,2,310,-7.7
20251130_222701,SARSA,2601,2700,0,310,-4.1
20251130_222701,SARSA,2701,2800,0,310,-4.05
20251130_222701,SARSA,2801,2900,2,312,-14.92
20251130_222701,SARSA,2901,3000,3,315,-8.91
20251130_222701,SARSA,3001,3100,0,315,-4.04
20251130_222701,SARSA,3101,3200,1,316,-5.08
20251130_222701,SARSA,3201,3300,2,318,-6.07
20251130_222701,SARSA,3301,3400,2,320,-6.0
20251130_222701,SARSA,3401,3500,0,320,-4.08
20251130_222701,SARSA,3501,3600,2,322,-7.04
20251130_222701,SARSA,3601,3700,1,323,-6.24
20251130_222701,SARSA,3701,3800,0,323,-4.12
20251130_222701,SARSA,3801,3900,0,323,-4.07
20251130_222701,SARSA,3901,4000,0,323,-4.07
20251130_222701,SARSA,4001,4100,0,323,-4.24
20251130_222701,SARSA,4101,4200,0,323,-4.09
20251130_222701,SARSA,4201,4300,0,323,-4.47
20251130_222701,SARSA,4301,4400,1,324,-6.92
20251130_222701,SARSA,4401,4500,3,327,-10.09
20251130_222701,SARSA,4501,4600,3,330,-14.91
20251130_222701,SARSA,4601,4700,2,332,-6.08
20251130_222701,SARSA,4701,4800,2,334,-7.02
20251130_222701,SARSA,4801,4900,1,335,-5.04
20251130_222701,SARSA,4901,5000,2,337,-10.56
20251130_222701,SARSA,5001,5100,2,339,-7.09
20251130_222701,SARSA,5101,5200,1,340,-5.35
20251130_222701,SARSA,5201,5300,4,344,-11.66
20251130_222701,SARSA,5301,5400,1,345,-5.19
20251130_222701,SARSA,5401,5500,4,349,-8.88
20251130_222701,SARSA,5501,5600,2,351,-6.06
20251130_222701,SARSA,5601,5700,1,352,-5.04
20251130_222701,SARSA,5701,5800,1,353,-5.06
20251130_222701,SARSA,5801,5900,2,355,-8.23
20251130_222701,SARSA,5901,6000,3,358,-16.45
20251130_222701,SARSA,6001,6100,0,358,-20.85
20251130_222701,SARSA,6101,6200,0,358,-20.79
20251130_222701,SARSA,6201,6300,1,359,-21.2
20251130_222701,SARSA,6301,6400,0,359,-20.47
20251130_222701,SARSA,6401,6500,0,359,-20.58
20251130_222701,SARSA,6501,6600,0,359,-20.48
20251130_222701,SARSA,6601,6700,0,359,-20.58
20251130_222701,SARSA,6701,6800,0,359,-20.58
20251130_222701,SARSA,6801,6900,0,359,-20.61
20251130_222701,SARSA,6901,7000,0,359,-20.5
20251130_222701,SARSA,7001,7100,0,359,-20.3
20251130_222701,SARSA,7101,7200,0,359,-20.53
20251130_222701,SARSA,7201,7300,0,359,-20.41
20251130_222701,SARSA,7301,7400,0,359,-20.54
20251130_222701,SARSA,7401,7500,0,359,-20.48
20251130_222701,SARSA,7501,7600,0,359,-20.39
20251130_222701,SARSA,7601,7700,0,359,-20.64
20251130_222701,SARSA,7701,7800,0,359,-20.63
20251130_222701,SARSA,7801,7900,0,359,-20.32
20251130_222701,SARSA,7901,8000,0,359,-20.46
20251130_222701,SARSA,8001,8100,0,359,-20.37
20251130_222701,SARSA,8101,8200,0,359,-20.71
20251130_222701,SARSA,8201,8300,0,359,-20.47
20251130_222701,SARSA,8301,8400,0,359,-20.41
20251130_222701,SARSA,8401,8500,0,359,-20.48
20251130_222701,SARSA,8501,8600,0,359,-20.55
20251130_222701,SARSA,8601,8700,1,360,-21.51
20251130_222701,SARSA,8701,8800,0,360,-20.52
20251130_222701,SARSA,8801,8900,0,360,-20.59
20251130_222701,SARSA,8901,9000,0,360,-20.41
20251130_222701,SARSA,9001,9100,0,360,-20.61
20251130_222701,SARSA,9101,9200,0,360,-20.59
20251130_222701,SARSA,9201,9300,0,360,-20.44
20251130_222701,SARSA,9301,9400,0,360,-20.53
20251130_222701,SARSA,9401,9500,0,360,-20.37
20251130_222701,SARSA,9501,9600,0,360,-20.42
20251130_222701,SARSA,9601,9700,0,360,-20.51
20251130_222701,SARSA,9701,9800,0,360,-20.63
20251130_222701,SARSA,9801,9900,0,360,-20.65
20251130_222701,SARSA,9901,10000,0,360,-20.43
20251130_222701,SARSA,10001,10100,0,360,-20.55
20251130_222701,SARSA,10101,10200,0,360,-20.53
20251130_222701,SARSA,10201,10300,0,360,-20.28
20251130_222701,SARSA,10301,10400,0,360,-20.65
20251130_222701,SARSA,10401,10500,0,360,-20.55
20251130_222701,SARSA,10501,10600,1,361,-21.4
20251130_222701,SARSA,10601,10700,1,362,-21.42
20251130_222701,SARSA,10701,10800,0,362,-20.5
20251130_222701,SARSA,10801,10900,0,362,-20.52
20251130_222701,SARSA,10901,11000,0,362,-20.55
20251130_222701,SARSA,11001,11100,0,362,-20.58
20251130_222701,SARSA,11101,11200,0,362,-20.46
20251130_222701,SARSA,11201,11300,0,362,-20.51
20251130_222701,SARSA,11301,11400,0,362,-20.52
20251130_222701,SARSA,11401,11500,0,362,-20.59
20251130_222701,SARSA,11501,11600,0,362,-20.5
