run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251122_115338,SARSA,1,100,97,97,-117.52
20251122_115338,SARSA,101,200,93,190,-145.43
20251122_115338,SARSA,201,300,56,246,-155.61
20251122_115338,SARSA,301,400,32,278,-107.35
20251122_115338,SARSA,401,500,18,296,-60.18
20251122_115338,SARSA,501,600,12,308,-33.41
20251122_115338,SARSA,601,700,6,314,-13.42
20251122_115338,SARSA,701,800,4,318,-9.73
20251122_115338,SARSA,801,900,4,322,-9.39
20251122_115338,SARSA,901,1000,3,325,-9.01
20251122_115338,SARSA,1001,1100,2,327,-6.3
20251122_115338,SARSA,1101,1200,0,327,-4.1
20251122_115338,SARSA,1201,1300,1,328,-7.09
20251122_115338,SARSA,1301,1400,2,330,-7.82
20251122_115338,SARSA,1401,1500,0,330,-4.07
20251122_115338,SARSA,1501,1600,0,330,-4.04
20251122_115338,SARSA,1601,1700,1,331,-6.54
20251122_115338,SARSA,1701,1800,0,331,-4.45
20251122_115338,SARSA,1801,1900,1,332,-7.59
20251122_115338,SARSA,1901,2000,1,333,-5.11
20251122_115338,SARSA,2001,2100,1,334,-5.14
20251122_115338,SARSA,2101,2200,1,335,-6.8
20251122_115338,SARSA,2201,2300,4,339,-10.43
20251122_115338,SARSA,2301,2400,2,341,-7.57
20251122_115338,SARSA,2401,2500,4,345,-9.43
20251122_115338,SARSA,2501,2600,0,345,-4.66
20251122_115338,SARSA,2601,2700,1,346,-5.59
20251122_115338,SARSA,2701,2800,0,346,-4.53
20251122_115338,SARSA,2801,2900,0,346,-4.05
20251122_115338,SARSA,2901,3000,1,347,-5.05
20251122_115338,SARSA,3001,3100,2,349,-8.48
20251122_115338,SARSA,3101,3200,4,353,-13.03
20251122_115338,SARSA,3201,3300,1,354,-5.38
20251122_115338,SARSA,3301,3400,1,355,-5.26
20251122_115338,SARSA,3401,3500,2,357,-10.51
20251122_115338,SARSA,3501,3600,0,357,-4.09
20251122_115338,SARSA,3601,3700,0,357,-4.27
20251122_115338,SARSA,3701,3800,1,358,-5.26
20251122_115338,SARSA,3801,3900,3,361,-11.38
20251122_115338,SARSA,3901,4000,1,362,-5.25
20251122_115338,SARSA,4001,4100,2,364,-7.0
20251122_115338,SARSA,4101,4200,0,364,-4.49
20251122_115338,SARSA,4201,4300,1,365,-6.96
20251122_115338,SARSA,4301,4400,2,367,-7.1
20251122_115338,SARSA,4401,4500,0,367,-4.24
20251122_115338,SARSA,4501,4600,2,369,-10.19
