run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251122_120126,Q-Learning,1,100,94,94,-106.99
20251122_120126,Q-Learning,101,200,88,182,-105.24
20251122_120126,Q-Learning,201,300,85,267,-96.81
20251122_120126,Q-Learning,301,400,78,345,-91.79
20251122_120126,Q-Learning,401,500,69,414,-80.99
20251122_120126,Q-Learning,501,600,68,482,-77.4
20251122_120126,Q-Learning,601,700,57,539,-66.23
20251122_120126,Q-Learning,701,800,57,596,-68.87
20251122_120126,Q-Learning,801,900,48,644,-55.45
20251122_120126,Q-Learning,901,1000,47,691,-54.33
20251122_120126,Q-Learning,1001,1100,46,737,-53.33
20251122_120126,Q-Learning,1101,1200,36,773,-43.72
20251122_120126,Q-Learning,1201,1300,36,809,-42.19
20251122_120126,Q-Learning,1301,1400,24,833,-30.48
20251122_120126,Q-Learning,1401,1500,32,865,-39.93
20251122_120126,Q-Learning,1501,1600,19,884,-24.88
20251122_120126,Q-Learning,1601,1700,27,911,-32.47
20251122_120126,Q-Learning,1701,1800,14,925,-19.78
20251122_120126,Q-Learning,1801,1900,21,946,-26.16
20251122_120126,Q-Learning,1901,2000,24,970,-29.0
20251122_120126,Q-Learning,2001,2100,17,987,-22.06
20251122_120126,Q-Learning,2101,2200,14,1001,-19.14
20251122_120126,Q-Learning,2201,2300,14,1015,-18.66
20251122_120126,Q-Learning,2301,2400,9,1024,-13.95
20251122_120126,Q-Learning,2401,2500,20,1044,-24.5
20251122_120126,Q-Learning,2501,2600,14,1058,-18.62
20251122_120126,Q-Learning,2601,2700,6,1064,-11.08
20251122_120126,Q-Learning,2701,2800,5,1069,-9.5
20251122_120126,Q-Learning,2801,2900,8,1077,-12.59
20251122_120126,Q-Learning,2901,3000,12,1089,-16.71
20251122_120126,Q-Learning,3001,3100,5,1094,-9.6
20251122_120126,Q-Learning,3101,3200,2,1096,-6.58
20251122_120126,Q-Learning,3201,3300,5,1101,-9.34
20251122_120126,Q-Learning,3301,3400,3,1104,-7.72
20251122_120126,Q-Learning,3401,3500,2,1106,-6.52
20251122_120126,Q-Learning,3501,3600,2,1108,-6.64
20251122_120126,Q-Learning,3601,3700,4,1112,-8.35
20251122_120126,Q-Learning,3701,3800,7,1119,-11.32
20251122_120126,Q-Learning,3801,3900,5,1124,-9.25
20251122_120126,Q-Learning,3901,4000,2,1126,-6.27
20251122_120126,Q-Learning,4001,4100,3,1129,-7.25
20251122_120126,Q-Learning,4101,4200,1,1130,-5.34
20251122_120126,Q-Learning,4201,4300,0,1130,-4.23
20251122_120126,Q-Learning,4301,4400,2,1132,-6.26
20251122_120126,Q-Learning,4401,4500,4,1136,-8.2
20251122_120126,Q-Learning,4501,4600,2,1138,-6.29
20251122_120126,Q-Learning,4601,4700,5,1143,-9.15
20251122_120126,Q-Learning,4701,4800,2,1145,-6.17
20251122_120126,Q-Learning,4801,4900,1,1146,-5.06
20251122_120126,Q-Learning,4901,5000,5,1151,-9.04
20251122_120126,Q-Learning,5001,5100,1,1152,-5.19
20251122_120126,Q-Learning,5101,5200,4,1156,-8.11
20251122_120126,Q-Learning,5201,5300,1,1157,-5.15
20251122_120126,Q-Learning,5301,5400,1,1158,-5.06
20251122_120126,Q-Learning,5401,5500,1,1159,-5.13
20251122_120126,Q-Learning,5501,5600,0,1159,-4.08
20251122_120126,Q-Learning,5601,5700,0,1159,-4.13
20251122_120126,Q-Learning,5701,5800,0,1159,-4.06
20251122_120126,Q-Learning,5801,5900,0,1159,-4.12
20251122_120126,Q-Learning,5901,6000,0,1159,-4.1
20251122_120126,Q-Learning,6001,6100,1,1160,-5.08
20251122_120126,Q-Learning,6101,6200,2,1162,-6.06
20251122_120126,Q-Learning,6201,6300,0,1162,-4.11
20251122_120126,Q-Learning,6301,6400,2,1164,-6.07
20251122_120126,Q-Learning,6401,6500,0,1164,-4.09
20251122_120126,Q-Learning,6501,6600,0,1164,-4.05
20251122_120126,Q-Learning,6601,6700,1,1165,-5.05
20251122_120126,Q-Learning,6701,6800,1,1166,-5.12
20251122_120126,Q-Learning,6801,6900,4,1170,-8.0
20251122_120126,Q-Learning,6901,7000,1,1171,-5.1
20251122_120126,Q-Learning,7001,7100,0,1171,-4.08
20251122_120126,Q-Learning,7101,7200,2,1173,-6.08
20251122_120126,Q-Learning,7201,7300,0,1173,-4.05
20251122_120126,Q-Learning,7301,7400,0,1173,-4.13
20251122_120126,Q-Learning,7401,7500,2,1175,-6.01
20251122_120126,Q-Learning,7501,7600,1,1176,-5.06
20251122_120126,Q-Learning,7601,7700,0,1176,-4.12
