run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251130_222708,Q-Learning,1,100,100,100,-103.85
20251130_222708,Q-Learning,101,200,99,199,-103.79
20251130_222708,Q-Learning,201,300,100,299,-108.9
20251130_222708,Q-Learning,301,400,85,384,-99.29
20251130_222708,Q-Learning,401,500,73,457,-81.85
20251130_222708,Q-Learning,501,600,48,505,-55.33
20251130_222708,Q-Learning,601,700,49,554,-56.28
20251130_222708,Q-Learning,701,800,33,587,-40.85
20251130_222708,Q-Learning,801,900,27,614,-35.21
20251130_222708,Q-Learning,901,1000,23,637,-30.46
20251130_222708,Q-Learning,1001,1100,12,649,-21.61
20251130_222708,Q-Learning,1101,1200,9,658,-16.87
20251130_222708,Q-Learning,1201,1300,9,667,-16.91
20251130_222708,Q-Learning,1301,1400,11,678,-19.19
20251130_222708,Q-Learning,1401,1500,3,681,-12.24
20251130_222708,Q-Learning,1501,1600,8,689,-15.85
20251130_222708,Q-Learning,1601,1700,6,695,-13.89
20251130_222708,Q-Learning,1701,1800,10,705,-17.75
20251130_222708,Q-Learning,1801,1900,12,717,-19.68
20251130_222708,Q-Learning,1901,2000,6,723,-13.95
20251130_222708,Q-Learning,2001,2100,4,727,-11.98
20251130_222708,Q-Learning,2101,2200,9,736,-17.16
20251130_222708,Q-Learning,2201,2300,7,743,-14.91
20251130_222708,Q-Learning,2301,2400,2,745,-10.06
20251130_222708,Q-Learning,2401,2500,10,755,-18.58
20251130_222708,Q-Learning,2501,2600,4,759,-11.97
20251130_222708,Q-Learning,2601,2700,2,761,-10.08
20251130_222708,Q-Learning,2701,2800,7,768,-17.29
20251130_222708,Q-Learning,2801,2900,10,778,-17.77
20251130_222708,Q-Learning,2901,3000,5,783,-12.93
20251130_222708,Q-Learning,3001,3100,13,796,-20.71
20251130_222708,Q-Learning,3101,3200,9,805,-18.1
20251130_222708,Q-Learning,3201,3300,9,814,-17.16
20251130_222708,Q-Learning,3301,3400,5,819,-13.86
20251130_222708,Q-Learning,3401,3500,6,825,-14.7
20251130_222708,Q-Learning,3501,3600,11,836,-18.64
20251130_222708,Q-Learning,3601,3700,9,845,-17.09
20251130_222708,Q-Learning,3701,3800,4,849,-11.93
20251130_222708,Q-Learning,3801,3900,7,856,-14.87
20251130_222708,Q-Learning,3901,4000,8,864,-15.93
20251130_222708,Q-Learning,4001,4100,7,871,-14.93
20251130_222708,Q-Learning,4101,4200,10,881,-17.71
20251130_222708,Q-Learning,4201,4300,6,887,-14.73
20251130_222708,Q-Learning,4301,4400,3,890,-11.71
20251130_222708,Q-Learning,4401,4500,6,896,-13.9
20251130_222708,Q-Learning,4501,4600,5,901,-13.56
20251130_222708,Q-Learning,4601,4700,6,907,-13.97
20251130_222708,Q-Learning,4701,4800,2,909,-11.01
20251130_222708,Q-Learning,4801,4900,6,915,-13.91
20251130_222708,Q-Learning,4901,5000,13,928,-20.71
20251130_222708,Q-Learning,5001,5100,5,933,-12.87
20251130_222708,Q-Learning,5101,5200,5,938,-12.94
20251130_222708,Q-Learning,5201,5300,4,942,-11.96
20251130_222708,Q-Learning,5301,5400,6,948,-14.15
20251130_222708,Q-Learning,5401,5500,8,956,-15.84
20251130_222708,Q-Learning,5501,5600,5,961,-13.29
20251130_222708,Q-Learning,5601,5700,7,968,-15.29
20251130_222708,Q-Learning,5701,5800,9,977,-17.55
20251130_222708,Q-Learning,5801,5900,3,980,-10.91
20251130_222708,Q-Learning,5901,6000,2,982,-9.98
20251130_222708,Q-Learning,6001,6100,5,987,-12.95
20251130_222708,Q-Learning,6101,6200,4,991,-11.94
20251130_222708,Q-Learning,6201,6300,9,1000,-16.78
20251130_222708,Q-Learning,6301,6400,6,1006,-13.95
20251130_222708,Q-Learning,6401,6500,10,1016,-17.73
20251130_222708,Q-Learning,6501,6600,11,1027,-19.01
20251130_222708,Q-Learning,6601,6700,7,1034,-14.86
20251130_222708,Q-Learning,6701,6800,12,1046,-19.7
20251130_222708,Q-Learning,6801,6900,2,1048,-10.38
20251130_222708,Q-Learning,6901,7000,10,1058,-17.72
20251130_222708,Q-Learning,7001,7100,7,1065,-14.85
20251130_222708,Q-Learning,7101,7200,7,1072,-14.91
20251130_222708,Q-Learning,7201,7300,9,1081,-16.91
20251130_222708,Q-Learning,7301,7400,10,1091,-17.76
20251130_222708,Q-Learning,7401,7500,8,1099,-16.53
20251130_222708,Q-Learning,7501,7600,3,1102,-11.07
20251130_222708,Q-Learning,7601,7700,5,1107,-13.07
20251130_222708,Q-Learning,7701,7800,11,1118,-18.78
20251130_222708,Q-Learning,7801,7900,10,1128,-17.79
20251130_222708,Q-Learning,7901,8000,8,1136,-15.69
20251130_222708,Q-Learning,8001,8100,7,1143,-14.93
20251130_222708,Q-Learning,8101,8200,6,1149,-13.94
20251130_222708,Q-Learning,8201,8300,10,1159,-17.82
20251130_222708,Q-Learning,8301,8400,5,1164,-13.01
20251130_222708,Q-Learning,8401,8500,6,1170,-13.87
20251130_222708,Q-Learning,8501,8600,4,1174,-11.84
20251130_222708,Q-Learning,8601,8700,1,1175,-9.06
20251130_222708,Q-Learning,8701,8800,8,1183,-15.77
20251130_222708,Q-Learning,8801,8900,8,1191,-16.11
20251130_222708,Q-Learning,8901,9000,9,1200,-16.85
20251130_222708,Q-Learning,9001,9100,9,1209,-16.92
20251130_222708,Q-Learning,9101,9200,7,1216,-14.83
20251130_222708,Q-Learning,9201,9300,4,1220,-12.0
20251130_222708,Q-Learning,9301,9400,5,1225,-12.85
20251130_222708,Q-Learning,9401,9500,11,1236,-18.77
20251130_222708,Q-Learning,9501,9600,4,1240,-12.06
