run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251130_222708,SARSA,1,100,100,100,-104.64
20251130_222708,SARSA,101,200,100,200,-106.73
20251130_222708,SARSA,201,300,100,300,-116.01
20251130_222708,SARSA,301,400,97,397,-129.58
20251130_222708,SARSA,401,500,97,494,-130.97
20251130_222708,SARSA,501,600,87,581,-126.81
20251130_222708,SARSA,601,700,53,634,-91.66
20251130_222708,SARSA,701,800,50,684,-103.34
20251130_222708,SARSA,801,900,22,706,-32.0
20251130_222708,SARSA,901,1000,27,733,-35.65
20251130_222708,SARSA,1001,1100,22,755,-33.04
20251130_222708,SARSA,1101,1200,13,768,-20.76
20251130_222708,SARSA,1201,1300,11,779,-18.98
20251130_222708,SARSA,1301,1400,9,788,-16.85
20251130_222708,SARSA,1401,1500,20,808,-46.91
20251130_222708,SARSA,1501,1600,3,811,-19.18
20251130_222708,SARSA,1601,1700,4,815,-19.9
20251130_222708,SARSA,1701,1800,6,821,-22.02
20251130_222708,SARSA,1801,1900,2,823,-18.28
20251130_222708,SARSA,1901,2000,6,829,-22.14
20251130_222708,SARSA,2001,2100,3,832,-20.5
20251130_222708,SARSA,2101,2200,4,836,-19.92
20251130_222708,SARSA,2201,2300,2,838,-18.15
20251130_222708,SARSA,2301,2400,4,842,-20.9
20251130_222708,SARSA,2401,2500,7,849,-69.41
20251130_222708,SARSA,2501,2600,12,861,-19.57
20251130_222708,SARSA,2601,2700,10,871,-17.81
20251130_222708,SARSA,2701,2800,7,878,-14.84
20251130_222708,SARSA,2801,2900,7,885,-14.83
20251130_222708,SARSA,2901,3000,7,892,-14.89
20251130_222708,SARSA,3001,3100,8,900,-15.93
20251130_222708,SARSA,3101,3200,16,916,-30.25
20251130_222708,SARSA,3201,3300,10,926,-17.84
20251130_222708,SARSA,3301,3400,5,931,-12.91
20251130_222708,SARSA,3401,3500,8,939,-15.85
20251130_222708,SARSA,3501,3600,7,946,-15.09
20251130_222708,SARSA,3601,3700,9,955,-17.88
20251130_222708,SARSA,3701,3800,7,962,-16.21
20251130_222708,SARSA,3801,3900,8,970,-15.89
20251130_222708,SARSA,3901,4000,6,976,-14.29
20251130_222708,SARSA,4001,4100,8,984,-17.99
20251130_222708,SARSA,4101,4200,8,992,-16.0
20251130_222708,SARSA,4201,4300,6,998,-14.06
20251130_222708,SARSA,4301,4400,7,1005,-14.8
20251130_222708,SARSA,4401,4500,4,1009,-12.86
20251130_222708,SARSA,4501,4600,8,1017,-20.58
20251130_222708,SARSA,4601,4700,4,1021,-12.19
20251130_222708,SARSA,4701,4800,13,1034,-30.12
20251130_222708,SARSA,4801,4900,4,1038,-11.96
20251130_222708,SARSA,4901,5000,5,1043,-12.88
20251130_222708,SARSA,5001,5100,8,1051,-15.74
20251130_222708,SARSA,5101,5200,5,1056,-12.91
20251130_222708,SARSA,5201,5300,12,1068,-22.95
20251130_222708,SARSA,5301,5400,9,1077,-20.32
20251130_222708,SARSA,5401,5500,12,1089,-21.07
20251130_222708,SARSA,5501,5600,6,1095,-13.89
20251130_222708,SARSA,5601,5700,7,1102,-15.36
20251130_222708,SARSA,5701,5800,6,1108,-13.87
20251130_222708,SARSA,5801,5900,8,1116,-16.4
20251130_222708,SARSA,5901,6000,7,1123,-17.23
20251130_222708,SARSA,6001,6100,8,1131,-30.53
20251130_222708,SARSA,6101,6200,9,1140,-16.96
20251130_222708,SARSA,6201,6300,4,1144,-11.95
20251130_222708,SARSA,6301,6400,8,1152,-16.0
20251130_222708,SARSA,6401,6500,11,1163,-28.08
20251130_222708,SARSA,6501,6600,7,1170,-14.79
20251130_222708,SARSA,6601,6700,10,1180,-17.75
20251130_222708,SARSA,6701,6800,3,1183,-10.99
20251130_222708,SARSA,6801,6900,8,1191,-15.86
20251130_222708,SARSA,6901,7000,10,1201,-18.47
20251130_222708,SARSA,7001,7100,6,1207,-13.98
20251130_222708,SARSA,7101,7200,5,1212,-13.43
20251130_222708,SARSA,7201,7300,5,1217,-12.95
20251130_222708,SARSA,7301,7400,10,1227,-28.07
20251130_222708,SARSA,7401,7500,11,1238,-19.22
20251130_222708,SARSA,7501,7600,6,1244,-13.97
20251130_222708,SARSA,7601,7700,6,1250,-14.0
20251130_222708,SARSA,7701,7800,6,1256,-13.9
20251130_222708,SARSA,7801,7900,18,1274,-40.35
20251130_222708,SARSA,7901,8000,11,1285,-30.14
20251130_222708,SARSA,8001,8100,3,1288,-19.05
20251130_222708,SARSA,8101,8200,0,1288,-16.23
20251130_222708,SARSA,8201,8300,6,1294,-22.73
20251130_222708,SARSA,8301,8400,5,1299,-21.29
20251130_222708,SARSA,8401,8500,4,1303,-25.01
20251130_222708,SARSA,8501,8600,8,1311,-29.1
20251130_222708,SARSA,8601,8700,2,1313,-18.1
20251130_222708,SARSA,8701,8800,2,1315,-18.02
20251130_222708,SARSA,8801,8900,1,1316,-17.23
20251130_222708,SARSA,8901,9000,2,1318,-18.17
20251130_222708,SARSA,9001,9100,3,1321,-19.37
20251130_222708,SARSA,9101,9200,1,1322,-17.43
20251130_222708,SARSA,9201,9300,2,1324,-19.22
20251130_222708,SARSA,9301,9400,3,1327,-22.66
20251130_222708,SARSA,9401,9500,4,1331,-20.81
20251130_222708,SARSA,9501,9600,16,1347,-79.66
20251130_222708,SARSA,9601,9700,8,1355,-24.03
20251130_222708,SARSA,9701,9800,3,1358,-10.97
20251130_222708,SARSA,9801,9900,6,1364,-14.4
20251130_222708,SARSA,9901,10000,13,1377,-21.81
20251130_222708,SARSA,10001,10100,6,1383,-13.84
20251130_222708,SARSA,10101,10200,7,1390,-14.79
20251130_222708,SARSA,10201,10300,7,1397,-14.8
20251130_222708,SARSA,10301,10400,10,1407,-17.93
20251130_222708,SARSA,10401,10500,5,1412,-13.01
20251130_222708,SARSA,10501,10600,8,1420,-34.37
20251130_222708,SARSA,10601,10700,3,1423,-19.2
20251130_222708,SARSA,10701,10800,2,1425,-18.25
20251130_222708,SARSA,10801,10900,1,1426,-17.38
20251130_222708,SARSA,10901,11000,1,1427,-17.39
20251130_222708,SARSA,11001,11100,3,1430,-20.2
20251130_222708,SARSA,11101,11200,5,1435,-21.18
20251130_222708,SARSA,11201,11300,4,1439,-22.3
20251130_222708,SARSA,11301,11400,2,1441,-18.18
