run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251122_120357,Q-Learning,1,100,100,100,-104.04
20251122_120357,Q-Learning,101,200,100,200,-104.35
20251122_120357,Q-Learning,201,300,100,300,-104.04
20251122_120357,Q-Learning,301,400,99,399,-103.96
20251122_120357,Q-Learning,401,500,100,499,-105.25
20251122_120357,Q-Learning,501,600,99,598,-104.35
20251122_120357,Q-Learning,601,700,99,697,-104.9
20251122_120357,Q-Learning,701,800,96,793,-102.38
20251122_120357,Q-Learning,801,900,98,891,-103.98
20251122_120357,Q-Learning,901,1000,95,986,-100.65
20251122_120357,Q-Learning,1001,1100,95,1081,-101.83
20251122_120357,Q-Learning,1101,1200,93,1174,-99.89
20251122_120357,Q-Learning,1201,1300,90,1264,-95.71
20251122_120357,Q-Learning,1301,1400,81,1345,-87.57
20251122_120357,Q-Learning,1401,1500,80,1425,-86.44
20251122_120357,Q-Learning,1501,1600,80,1505,-85.53
20251122_120357,Q-Learning,1601,1700,80,1585,-86.77
20251122_120357,Q-Learning,1701,1800,77,1662,-83.79
20251122_120357,Q-Learning,1801,1900,76,1738,-82.43
20251122_120357,Q-Learning,1901,2000,69,1807,-75.34
20251122_120357,Q-Learning,2001,2100,60,1867,-66.83
20251122_120357,Q-Learning,2101,2200,59,1926,-65.91
20251122_120357,Q-Learning,2201,2300,59,1985,-67.25
20251122_120357,Q-Learning,2301,2400,55,2040,-62.31
20251122_120357,Q-Learning,2401,2500,51,2091,-57.98
20251122_120357,Q-Learning,2501,2600,50,2141,-56.35
20251122_120357,Q-Learning,2601,2700,42,2183,-49.17
20251122_120357,Q-Learning,2701,2800,47,2230,-54.39
20251122_120357,Q-Learning,2801,2900,32,2262,-39.84
20251122_120357,Q-Learning,2901,3000,44,2306,-51.45
20251122_120357,Q-Learning,3001,3100,35,2341,-42.35
20251122_120357,Q-Learning,3101,3200,42,2383,-49.18
20251122_120357,Q-Learning,3201,3300,37,2420,-43.98
20251122_120357,Q-Learning,3301,3400,34,2454,-42.43
20251122_120357,Q-Learning,3401,3500,24,2478,-31.52
20251122_120357,Q-Learning,3501,3600,22,2500,-29.57
20251122_120357,Q-Learning,3601,3700,38,2538,-45.3
20251122_120357,Q-Learning,3701,3800,28,2566,-35.63
20251122_120357,Q-Learning,3801,3900,25,2591,-32.36
20251122_120357,Q-Learning,3901,4000,21,2612,-28.41
20251122_120357,Q-Learning,4001,4100,21,2633,-28.78
20251122_120357,Q-Learning,4101,4200,19,2652,-26.59
20251122_120357,Q-Learning,4201,4300,19,2671,-26.6
20251122_120357,Q-Learning,4301,4400,12,2683,-19.75
20251122_120357,Q-Learning,4401,4500,17,2700,-24.46
20251122_120357,Q-Learning,4501,4600,14,2714,-21.81
20251122_120357,Q-Learning,4601,4700,15,2729,-22.63
20251122_120357,Q-Learning,4701,4800,10,2739,-17.9
20251122_120357,Q-Learning,4801,4900,8,2747,-15.91
20251122_120357,Q-Learning,4901,5000,13,2760,-20.77
20251122_120357,Q-Learning,5001,5100,8,2768,-15.79
20251122_120357,Q-Learning,5101,5200,11,2779,-18.59
20251122_120357,Q-Learning,5201,5300,14,2793,-21.81
20251122_120357,Q-Learning,5301,5400,4,2797,-11.97
20251122_120357,Q-Learning,5401,5500,6,2803,-13.93
20251122_120357,Q-Learning,5501,5600,5,2808,-12.94
20251122_120357,Q-Learning,5601,5700,9,2817,-16.77
20251122_120357,Q-Learning,5701,5800,7,2824,-14.8
20251122_120357,Q-Learning,5801,5900,7,2831,-14.83
20251122_120357,Q-Learning,5901,6000,5,2836,-13.02
20251122_120357,Q-Learning,6001,6100,8,2844,-15.79
20251122_120357,Q-Learning,6101,6200,8,2852,-15.84
20251122_120357,Q-Learning,6201,6300,9,2861,-16.67
20251122_120357,Q-Learning,6301,6400,9,2870,-16.78
20251122_120357,Q-Learning,6401,6500,6,2876,-13.95
20251122_120357,Q-Learning,6501,6600,7,2883,-14.89
20251122_120357,Q-Learning,6601,6700,5,2888,-12.94
20251122_120357,Q-Learning,6701,6800,3,2891,-11.03
20251122_120357,Q-Learning,6801,6900,10,2901,-17.66
20251122_120357,Q-Learning,6901,7000,2,2903,-10.02
20251122_120357,Q-Learning,7001,7100,7,2910,-14.84
20251122_120357,Q-Learning,7101,7200,7,2917,-14.99
20251122_120357,Q-Learning,7201,7300,4,2921,-11.97
20251122_120357,Q-Learning,7301,7400,5,2926,-13.03
20251122_120357,Q-Learning,7401,7500,12,2938,-19.76
20251122_120357,Q-Learning,7501,7600,7,2945,-14.93
20251122_120357,Q-Learning,7601,7700,8,2953,-15.79
20251122_120357,Q-Learning,7701,7800,6,2959,-13.96
20251122_120357,Q-Learning,7801,7900,5,2964,-12.79
20251122_120357,Q-Learning,7901,8000,9,2973,-16.75
20251122_120357,Q-Learning,8001,8100,9,2982,-16.91
20251122_120357,Q-Learning,8101,8200,6,2988,-13.89
20251122_120357,Q-Learning,8201,8300,7,2995,-14.85
20251122_120357,Q-Learning,8301,8400,9,3004,-16.86
20251122_120357,Q-Learning,8401,8500,3,3007,-11.03
20251122_120357,Q-Learning,8501,8600,6,3013,-14.01
20251122_120357,Q-Learning,8601,8700,7,3020,-14.91
20251122_120357,Q-Learning,8701,8800,6,3026,-13.81
20251122_120357,Q-Learning,8801,8900,13,3039,-20.76
20251122_120357,Q-Learning,8901,9000,9,3048,-16.84
20251122_120357,Q-Learning,9001,9100,7,3055,-14.89
20251122_120357,Q-Learning,9101,9200,4,3059,-12.01
20251122_120357,Q-Learning,9201,9300,7,3066,-14.89
20251122_120357,Q-Learning,9301,9400,4,3070,-11.85
20251122_120357,Q-Learning,9401,9500,5,3075,-12.98
20251122_120357,Q-Learning,9501,9600,6,3081,-14.02
20251122_120357,Q-Learning,9601,9700,6,3087,-13.98
20251122_120357,Q-Learning,9701,9800,6,3093,-14.06
20251122_120357,Q-Learning,9801,9900,9,3102,-16.82
20251122_120357,Q-Learning,9901,10000,4,3106,-11.97
20251122_120358,Q-Learning,1,100,100,100,-103.76
20251122_120358,Q-Learning,101,200,100,200,-104.17
20251122_120358,Q-Learning,201,300,99,299,-102.37
20251122_120358,Q-Learning,301,400,99,398,-103.38
20251122_120358,Q-Learning,401,500,100,498,-104.43
20251122_120358,Q-Learning,501,600,100,598,-105.36
20251122_120358,Q-Learning,601,700,100,698,-105.91
20251122_120358,Q-Learning,701,800,99,797,-104.54
20251122_120358,Q-Learning,801,900,96,893,-102.41
20251122_120358,Q-Learning,901,1000,95,988,-102.54
20251122_120358,Q-Learning,1001,1100,96,1084,-101.69
20251122_120358,Q-Learning,1101,1200,87,1171,-94.11
20251122_120358,Q-Learning,1201,1300,87,1258,-93.1
20251122_120358,Q-Learning,1301,1400,93,1351,-98.89
20251122_120358,Q-Learning,1401,1500,85,1436,-90.99
20251122_120358,Q-Learning,1501,1600,80,1516,-87.17
20251122_120358,Q-Learning,1601,1700,80,1596,-86.21
20251122_120358,Q-Learning,1701,1800,72,1668,-78.0
20251122_120358,Q-Learning,1801,1900,67,1735,-73.2
20251122_120358,Q-Learning,1901,2000,55,1790,-61.94
20251122_120358,Q-Learning,2001,2100,53,1843,-60.2
20251122_120358,Q-Learning,2101,2200,56,1899,-62.78
20251122_120358,Q-Learning,2201,2300,61,1960,-67.43
20251122_120358,Q-Learning,2301,2400,53,2013,-60.0
20251122_120358,Q-Learning,2401,2500,57,2070,-63.41
20251122_120358,Q-Learning,2501,2600,48,2118,-55.13
20251122_120358,Q-Learning,2601,2700,43,2161,-50.53
20251122_120358,Q-Learning,2701,2800,39,2200,-46.37
20251122_120358,Q-Learning,2801,2900,41,2241,-48.0
20251122_120358,Q-Learning,2901,3000,45,2286,-52.35
20251122_120358,Q-Learning,3001,3100,33,2319,-40.53
20251122_120358,Q-Learning,3101,3200,34,2353,-41.24
20251122_120358,Q-Learning,3201,3300,31,2384,-39.56
20251122_120358,Q-Learning,3301,3400,37,2421,-44.33
20251122_120358,Q-Learning,3401,3500,27,2448,-34.71
20251122_120358,Q-Learning,3501,3600,26,2474,-33.31
20251122_120358,Q-Learning,3601,3700,25,2499,-32.45
20251122_120358,Q-Learning,3701,3800,25,2524,-32.75
20251122_120358,Q-Learning,3801,3900,23,2547,-30.69
20251122_120358,Q-Learning,3901,4000,21,2568,-28.51
20251122_120358,Q-Learning,4001,4100,23,2591,-30.63
20251122_120358,Q-Learning,4101,4200,13,2604,-21.06
20251122_120358,Q-Learning,4201,4300,18,2622,-25.6
20251122_120358,Q-Learning,4301,4400,16,2638,-23.55
20251122_120358,Q-Learning,4401,4500,10,2648,-17.9
20251122_120358,Q-Learning,4501,4600,8,2656,-15.97
20251122_120358,Q-Learning,4601,4700,13,2669,-20.48
20251122_120358,Q-Learning,4701,4800,15,2684,-22.94
20251122_120358,Q-Learning,4801,4900,9,2693,-16.83
20251122_120358,Q-Learning,4901,5000,10,2703,-17.74
20251122_120358,Q-Learning,5001,5100,7,2710,-14.91
20251122_120358,Q-Learning,5101,5200,5,2715,-12.98
20251122_120358,Q-Learning,5201,5300,7,2722,-14.94
20251122_120358,Q-Learning,5301,5400,5,2727,-12.87
20251122_120358,Q-Learning,5401,5500,9,2736,-16.8
20251122_120358,Q-Learning,5501,5600,4,2740,-12.07
20251122_120358,Q-Learning,5601,5700,6,2746,-13.94
20251122_120358,Q-Learning,5701,5800,9,2755,-16.74
20251122_120358,Q-Learning,5801,5900,11,2766,-18.89
20251122_120358,Q-Learning,5901,6000,4,2770,-11.94
20251122_120358,Q-Learning,6001,6100,9,2779,-16.77
20251122_120358,Q-Learning,6101,6200,7,2786,-15.11
20251122_120358,Q-Learning,6201,6300,5,2791,-13.0
20251122_120358,Q-Learning,6301,6400,12,2803,-19.65
20251122_120358,Q-Learning,6401,6500,7,2810,-14.93
20251122_120358,Q-Learning,6501,6600,11,2821,-18.78
20251122_120358,Q-Learning,6601,6700,7,2828,-14.87
20251122_120358,Q-Learning,6701,6800,2,2830,-10.2
20251122_120358,Q-Learning,6801,6900,5,2835,-13.01
