run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251122_115207,SARSA,1,100,100,100,-104.28
20251122_115207,SARSA,101,200,100,200,-108.01
20251122_115207,SARSA,201,300,100,300,-113.69
20251122_115207,SARSA,301,400,91,391,-110.47
20251122_115207,SARSA,401,500,80,471,-105.66
20251122_115207,SARSA,501,600,76,547,-115.05
20251122_115207,SARSA,601,700,65,612,-101.26
20251122_115207,SARSA,701,800,61,673,-112.43
20251122_115207,SARSA,801,900,17,690,-36.26
20251122_115207,SARSA,901,1000,10,700,-26.82
20251122_115207,SARSA,1001,1100,6,706,-22.32
20251122_115207,SARSA,1101,1200,7,713,-33.21
20251122_115207,SARSA,1201,1300,7,720,-22.93
20251122_115207,SARSA,1301,1400,5,725,-20.77
20251122_115207,SARSA,1401,1500,4,729,-20.4
20251122_115207,SARSA,1501,1600,6,735,-26.82
20251122_115207,SARSA,1601,1700,4,739,-20.62
20251122_115207,SARSA,1701,1800,8,747,-57.29
20251122_115207,SARSA,1801,1900,4,751,-21.69
20251122_115207,SARSA,1901,2000,3,754,-18.99
20251122_115207,SARSA,2001,2100,4,758,-20.1
20251122_115207,SARSA,2101,2200,1,759,-17.21
20251122_115207,SARSA,2201,2300,2,761,-18.32
20251122_115207,SARSA,2301,2400,3,764,-19.27
20251122_115207,SARSA,2401,2500,0,764,-16.36
20251122_115207,SARSA,2501,2600,6,770,-22.24
20251122_115207,SARSA,2601,2700,7,777,-23.51
20251122_115207,SARSA,2701,2800,3,780,-20.82
20251122_115207,SARSA,2801,2900,5,785,-53.45
20251122_115207,SARSA,2901,3000,3,788,-19.26
20251122_115207,SARSA,3001,3100,5,793,-20.89
20251122_115207,SARSA,3101,3200,7,800,-23.96
20251122_115207,SARSA,3201,3300,3,803,-19.41
20251122_115207,SARSA,3301,3400,4,807,-19.66
20251122_115207,SARSA,3401,3500,3,810,-21.3
20251122_115207,SARSA,3501,3600,6,816,-22.59
20251122_115207,SARSA,3601,3700,3,819,-20.75
20251122_115207,SARSA,3701,3800,4,823,-21.39
20251122_115207,SARSA,3801,3900,7,830,-44.47
20251122_115207,SARSA,3901,4000,5,835,-22.9
20251122_115207,SARSA,4001,4100,2,837,-18.27
20251122_115207,SARSA,4101,4200,14,851,-77.34
20251122_115207,SARSA,4201,4300,2,853,-24.74
20251122_115207,SARSA,4301,4400,9,862,-30.07
20251122_115207,SARSA,4401,4500,14,876,-34.9
20251122_115207,SARSA,4501,4600,6,882,-24.75
20251122_115207,SARSA,4601,4700,4,886,-21.96
20251122_115207,SARSA,4701,4800,0,886,-18.66
20251122_115207,SARSA,4801,4900,8,894,-38.44
20251122_115207,SARSA,4901,5000,2,896,-20.42
20251122_115207,SARSA,5001,5100,2,898,-20.12
20251122_115207,SARSA,5101,5200,5,903,-22.94
20251122_115207,SARSA,5201,5300,3,906,-24.9
20251122_115207,SARSA,5301,5400,4,910,-25.85
20251122_115207,SARSA,5401,5500,5,915,-23.55
20251122_115207,SARSA,5501,5600,10,925,-42.08
20251122_115207,SARSA,5601,5700,3,928,-20.34
20251122_115207,SARSA,5701,5800,1,929,-17.28
20251122_115207,SARSA,5801,5900,7,936,-31.85
20251122_115207,SARSA,5901,6000,8,944,-30.13
20251122_115207,SARSA,6001,6100,5,949,-22.25
20251122_115207,SARSA,6101,6200,8,957,-40.83
20251122_115207,SARSA,6201,6300,7,964,-24.97
20251122_115207,SARSA,6301,6400,13,977,-57.06
20251122_115207,SARSA,6401,6500,4,981,-21.97
20251122_115207,SARSA,6501,6600,6,987,-24.94
20251122_115207,SARSA,6601,6700,6,993,-24.09
20251122_115207,SARSA,6701,6800,2,995,-20.34
20251122_115207,SARSA,6801,6900,4,999,-26.99
20251122_115207,SARSA,6901,7000,5,1004,-35.29
20251122_115207,SARSA,7001,7100,9,1013,-44.12
20251122_115207,SARSA,7101,7200,5,1018,-24.84
20251122_115207,SARSA,7201,7300,6,1024,-27.06
20251122_115207,SARSA,7301,7400,8,1032,-28.3
20251122_115207,SARSA,7401,7500,5,1037,-22.05
20251122_115207,SARSA,7501,7600,5,1042,-21.01
20251122_115207,SARSA,7601,7700,3,1045,-19.06
20251122_115207,SARSA,7701,7800,4,1049,-21.02
20251122_115207,SARSA,7801,7900,1,1050,-17.16
20251122_115207,SARSA,7901,8000,0,1050,-16.51
20251122_115207,SARSA,8001,8100,32,1082,-174.35
20251122_115207,SARSA,8101,8200,4,1086,-21.32
20251122_115207,SARSA,8201,8300,2,1088,-18.13
20251122_115207,SARSA,8301,8400,5,1093,-22.18
20251122_115207,SARSA,8401,8500,4,1097,-20.02
20251122_115207,SARSA,8501,8600,4,1101,-19.88
20251122_115207,SARSA,8601,8700,7,1108,-22.55
20251122_115207,SARSA,8701,8800,5,1113,-23.55
20251122_115207,SARSA,8801,8900,3,1116,-18.94
20251122_115207,SARSA,8901,9000,3,1119,-19.53
20251122_115207,SARSA,9001,9100,2,1121,-18.96
20251122_115207,SARSA,9101,9200,3,1124,-19.11
20251122_115207,SARSA,9201,9300,3,1127,-19.07
20251122_115207,SARSA,9301,9400,4,1131,-21.07
20251122_115207,SARSA,9401,9500,1,1132,-17.27
20251122_115207,SARSA,9501,9600,5,1137,-30.55
20251122_115207,SARSA,9601,9700,11,1148,-29.83
20251122_115207,SARSA,9701,9800,4,1152,-11.98
20251122_115207,SARSA,9801,9900,15,1167,-23.48
20251122_115207,SARSA,9901,10000,7,1174,-15.62
20251122_115208,SARSA,1,100,100,100,-104.81
20251122_115208,SARSA,101,200,100,200,-108.61
20251122_115208,SARSA,201,300,100,300,-115.3
20251122_115208,SARSA,301,400,95,395,-122.18
20251122_115208,SARSA,401,500,89,484,-123.07
20251122_115208,SARSA,501,600,76,560,-101.05
20251122_115208,SARSA,601,700,41,601,-65.87
20251122_115208,SARSA,701,800,61,662,-118.24
20251122_115208,SARSA,801,900,26,688,-36.25
20251122_115208,SARSA,901,1000,21,709,-28.55
20251122_115208,SARSA,1001,1100,18,727,-32.21
20251122_115208,SARSA,1101,1200,14,741,-37.88
20251122_115208,SARSA,1201,1300,8,749,-30.7
20251122_115208,SARSA,1301,1400,4,753,-20.17
20251122_115208,SARSA,1401,1500,3,756,-19.92
20251122_115208,SARSA,1501,1600,9,765,-24.93
20251122_115208,SARSA,1601,1700,1,766,-17.2
20251122_115208,SARSA,1701,1800,6,772,-23.08
20251122_115208,SARSA,1801,1900,5,777,-20.9
20251122_115208,SARSA,1901,2000,2,779,-18.15
20251122_115208,SARSA,2001,2100,7,786,-23.13
20251122_115208,SARSA,2101,2200,6,792,-24.38
20251122_115208,SARSA,2201,2300,3,795,-19.61
20251122_115208,SARSA,2301,2400,5,800,-21.62
20251122_115208,SARSA,2401,2500,5,805,-24.05
20251122_115208,SARSA,2501,2600,4,809,-20.9
20251122_115208,SARSA,2601,2700,4,813,-23.1
20251122_115208,SARSA,2701,2800,3,816,-20.99
20251122_115208,SARSA,2801,2900,14,830,-61.94
20251122_115208,SARSA,2901,3000,9,839,-24.75
20251122_115208,SARSA,3001,3100,5,844,-20.92
20251122_115208,SARSA,3101,3200,5,849,-21.05
20251122_115208,SARSA,3201,3300,8,857,-27.49
20251122_115208,SARSA,3301,3400,3,860,-20.14
20251122_115208,SARSA,3401,3500,4,864,-22.46
20251122_115208,SARSA,3501,3600,3,867,-19.34
20251122_115208,SARSA,3601,3700,6,873,-26.44
20251122_115208,SARSA,3701,3800,3,876,-21.49
20251122_115208,SARSA,3801,3900,9,885,-34.83
20251122_115208,SARSA,3901,4000,2,887,-18.64
20251122_115208,SARSA,4001,4100,13,900,-73.39
20251122_115208,SARSA,4101,4200,5,905,-12.85
20251122_115208,SARSA,4201,4300,5,910,-12.94
20251122_115208,SARSA,4301,4400,9,919,-19.16
20251122_115208,SARSA,4401,4500,14,933,-21.92
20251122_115208,SARSA,4501,4600,6,939,-13.8
20251122_115208,SARSA,4601,4700,9,948,-16.93
20251122_115208,SARSA,4701,4800,3,951,-11.06
20251122_115208,SARSA,4801,4900,7,958,-14.8
20251122_115208,SARSA,4901,5000,6,964,-14.66
20251122_115208,SARSA,5001,5100,9,973,-16.87
20251122_115208,SARSA,5101,5200,25,998,-63.0
20251122_115208,SARSA,5201,5300,2,1000,-20.47
20251122_115208,SARSA,5301,5400,4,1004,-19.82
20251122_115208,SARSA,5401,5500,4,1008,-21.29
20251122_115208,SARSA,5501,5600,3,1011,-19.28
20251122_115208,SARSA,5601,5700,1,1012,-17.14
20251122_115208,SARSA,5701,5800,5,1017,-21.55
20251122_115208,SARSA,5801,5900,1,1018,-17.1
20251122_115208,SARSA,5901,6000,4,1022,-21.23
20251122_115208,SARSA,6001,6100,2,1024,-18.07
20251122_115208,SARSA,6101,6200,4,1028,-20.44
20251122_115208,SARSA,6201,6300,5,1033,-22.73
20251122_115208,SARSA,6301,6400,3,1036,-19.23
20251122_115208,SARSA,6401,6500,5,1041,-21.79
20251122_115208,SARSA,6501,6600,5,1046,-21.08
20251122_115208,SARSA,6601,6700,5,1051,-29.15
20251122_115208,SARSA,6701,6800,2,1053,-17.93
20251122_115208,SARSA,6801,6900,3,1056,-21.43
20251122_115208,SARSA,6901,7000,7,1063,-49.21
20251122_115208,SARSA,7001,7100,2,1065,-18.86
20251122_115208,SARSA,7101,7200,3,1068,-19.13
20251122_115208,SARSA,7201,7300,1,1069,-17.39
20251122_115208,SARSA,7301,7400,1,1070,-17.0
20251122_115208,SARSA,7401,7500,2,1072,-18.31
20251122_115208,SARSA,7501,7600,6,1078,-22.1
20251122_115208,SARSA,7601,7700,1,1079,-18.21
20251122_115208,SARSA,7701,7800,4,1083,-28.46
20251122_115208,SARSA,7801,7900,6,1089,-22.46
20251122_115208,SARSA,7901,8000,3,1092,-19.03
20251122_115208,SARSA,8001,8100,3,1095,-19.57
20251122_115208,SARSA,8101,8200,6,1101,-37.57
20251122_115208,SARSA,8201,8300,3,1104,-19.33
20251122_115208,SARSA,8301,8400,8,1112,-16.03
20251122_115208,SARSA,8401,8500,11,1123,-19.08
20251122_115208,SARSA,8501,8600,10,1133,-19.39
20251122_115208,SARSA,8601,8700,5,1138,-13.2
20251122_115208,SARSA,8701,8800,4,1142,-11.99
20251122_115208,SARSA,8801,8900,6,1148,-15.09
20251122_115208,SARSA,8901,9000,5,1153,-13.11
20251122_115208,SARSA,9001,9100,3,1156,-11.0
20251122_115208,SARSA,9101,9200,11,1167,-21.62
20251122_115208,SARSA,9201,9300,6,1173,-15.61
20251122_115208,SARSA,9301,9400,14,1187,-33.92
20251122_115208,SARSA,9401,9500,8,1195,-29.38
20251122_115208,SARSA,9501,9600,11,1206,-55.47
20251122_115208,SARSA,9601,9700,4,1210,-19.99
20251122_115208,SARSA,9701,9800,1,1211,-17.15
20251122_115208,SARSA,9801,9900,0,1211,-16.47
20251122_115208,SARSA,9901,10000,5,1216,-21.58
20251122_115209,SARSA,1,100,100,100,-104.04
20251122_115209,SARSA,101,200,100,200,-108.11
20251122_115209,SARSA,201,300,99,299,-116.58
20251122_115209,SARSA,301,400,96,395,-119.33
20251122_115209,SARSA,401,500,92,487,-122.3
20251122_115209,SARSA,501,600,74,561,-108.24
20251122_115209,SARSA,601,700,44,605,-55.88
20251122_115209,SARSA,701,800,46,651,-70.3
20251122_115209,SARSA,801,900,20,671,-39.33
20251122_115209,SARSA,901,1000,8,679,-25.8
20251122_115209,SARSA,1001,1100,14,693,-31.76
20251122_115209,SARSA,1101,1200,18,711,-72.72
20251122_115209,SARSA,1201,1300,3,714,-21.26
20251122_115209,SARSA,1301,1400,3,717,-19.11
20251122_115209,SARSA,1401,1500,2,719,-18.27
20251122_115209,SARSA,1501,1600,5,724,-22.67
20251122_115209,SARSA,1601,1700,5,729,-27.07
20251122_115209,SARSA,1701,1800,7,736,-25.29
20251122_115209,SARSA,1801,1900,4,740,-20.18
20251122_115209,SARSA,1901,2000,4,744,-21.01
20251122_115209,SARSA,2001,2100,5,749,-23.06
20251122_115209,SARSA,2101,2200,6,755,-22.89
20251122_115209,SARSA,2201,2300,2,757,-18.27
20251122_115209,SARSA,2301,2400,6,763,-50.98
20251122_115209,SARSA,2401,2500,2,765,-18.36
20251122_115209,SARSA,2501,2600,6,771,-23.27
20251122_115209,SARSA,2601,2700,4,775,-21.21
