run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251130_222716,Q-Learning,1,100,100,100,-114.05
20251130_222716,Q-Learning,101,200,98,198,-110.23
20251130_222716,Q-Learning,201,300,100,298,-114.22
20251130_222716,Q-Learning,301,400,98,396,-112.97
20251130_222716,Q-Learning,401,500,84,480,-105.26
20251130_222716,Q-Learning,501,600,60,540,-82.17
20251130_222716,Q-Learning,601,700,40,580,-63.72
20251130_222716,Q-Learning,701,800,32,612,-51.38
20251130_222716,Q-Learning,801,900,13,625,-30.86
20251130_222716,Q-Learning,901,1000,10,635,-25.49
20251130_222716,Q-Learning,1001,1100,12,647,-26.12
20251130_222716,Q-Learning,1101,1200,6,653,-20.21
20251130_222716,Q-Learning,1201,1300,3,656,-17.45
20251130_222716,Q-Learning,1301,1400,2,658,-16.4
20251130_222716,Q-Learning,1401,1500,6,664,-20.45
20251130_222716,Q-Learning,1501,1600,4,668,-18.09
20251130_222716,Q-Learning,1601,1700,7,675,-21.06
20251130_222716,Q-Learning,1701,1800,2,677,-16.37
20251130_222716,Q-Learning,1801,1900,2,679,-15.97
20251130_222716,Q-Learning,1901,2000,1,680,-15.16
20251130_222716,Q-Learning,2001,2100,5,685,-19.05
20251130_222716,Q-Learning,2101,2200,5,690,-18.88
20251130_222716,Q-Learning,2201,2300,4,694,-18.29
20251130_222716,Q-Learning,2301,2400,2,696,-15.93
20251130_222716,Q-Learning,2401,2500,5,701,-18.94
20251130_222716,Q-Learning,2501,2600,3,704,-17.12
20251130_222716,Q-Learning,2601,2700,3,707,-17.16
20251130_222716,Q-Learning,2701,2800,7,714,-20.51
20251130_222716,Q-Learning,2801,2900,7,721,-21.07
20251130_222716,Q-Learning,2901,3000,9,730,-22.95
20251130_222716,Q-Learning,3001,3100,3,733,-17.16
20251130_222716,Q-Learning,3101,3200,3,736,-16.86
20251130_222716,Q-Learning,3201,3300,9,745,-22.53
20251130_222716,Q-Learning,3301,3400,6,751,-19.88
20251130_222716,Q-Learning,3401,3500,5,756,-18.96
20251130_222716,Q-Learning,3501,3600,9,765,-22.64
20251130_222716,Q-Learning,3601,3700,10,775,-23.87
20251130_222716,Q-Learning,3701,3800,4,779,-17.94
