run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251130_222716,SARSA,1,100,100,100,-119.28
20251130_222716,SARSA,101,200,100,200,-118.37
20251130_222716,SARSA,201,300,100,300,-122.37
20251130_222716,SARSA,301,400,90,390,-118.4
20251130_222716,SARSA,401,500,82,472,-108.18
20251130_222716,SARSA,501,600,69,541,-99.33
20251130_222716,SARSA,601,700,55,596,-78.83
20251130_222716,SARSA,701,800,29,625,-56.37
20251130_222716,SARSA,801,900,11,636,-33.39
20251130_222716,SARSA,901,1000,15,651,-41.16
20251130_222716,SARSA,1001,1100,7,658,-21.19
20251130_222716,SARSA,1101,1200,12,670,-29.59
20251130_222716,SARSA,1201,1300,4,674,-18.98
20251130_222716,SARSA,1301,1400,2,676,-16.09
20251130_222716,SARSA,1401,1500,3,679,-17.64
20251130_222716,SARSA,1501,1600,3,682,-19.74
20251130_222716,SARSA,1601,1700,3,685,-19.52
20251130_222716,SARSA,1701,1800,3,688,-20.85
20251130_222716,SARSA,1801,1900,2,690,-18.53
20251130_222716,SARSA,1901,2000,3,693,-18.76
20251130_222716,SARSA,2001,2100,6,699,-22.77
20251130_222716,SARSA,2101,2200,4,703,-19.9
20251130_222716,SARSA,2201,2300,3,706,-18.87
20251130_222716,SARSA,2301,2400,9,715,-28.65
20251130_222716,SARSA,2401,2500,5,720,-20.99
20251130_222716,SARSA,2501,2600,6,726,-28.29
20251130_222716,SARSA,2601,2700,4,730,-23.69
20251130_222716,SARSA,2701,2800,8,738,-27.76
20251130_222716,SARSA,2801,2900,5,743,-28.65
20251130_222716,SARSA,2901,3000,2,745,-20.05
20251130_222716,SARSA,3001,3100,3,748,-26.79
20251130_222716,SARSA,3101,3200,9,757,-32.39
20251130_222716,SARSA,3201,3300,6,763,-27.08
20251130_222716,SARSA,3301,3400,10,773,-28.77
20251130_222716,SARSA,3401,3500,10,783,-60.31
20251130_222716,SARSA,3501,3600,6,789,-22.26
20251130_222716,SARSA,3601,3700,1,790,-17.96
20251130_222716,SARSA,3701,3800,1,791,-15.48
20251130_222716,SARSA,3801,3900,4,795,-18.34
20251130_222716,SARSA,3901,4000,8,803,-28.54
20251130_222716,SARSA,4001,4100,5,808,-22.11
20251130_222716,SARSA,4101,4200,7,815,-35.1
20251130_222716,SARSA,4201,4300,1,816,-15.26
20251130_222716,SARSA,4301,4400,3,819,-19.21
20251130_222716,SARSA,4401,4500,19,838,-74.13
20251130_222716,SARSA,4501,4600,3,841,-17.79
20251130_222716,SARSA,4601,4700,1,842,-15.27
20251130_222716,SARSA,4701,4800,2,844,-16.2
20251130_222716,SARSA,4801,4900,2,846,-18.44
20251130_222716,SARSA,4901,5000,0,846,-15.19
20251130_222716,SARSA,5001,5100,2,848,-16.79
20251130_222716,SARSA,5101,5200,2,850,-16.14
20251130_222716,SARSA,5201,5300,2,852,-16.59
20251130_222716,SARSA,5301,5400,3,855,-17.67
20251130_222716,SARSA,5401,5500,2,857,-17.66
20251130_222716,SARSA,5501,5600,1,858,-17.29
20251130_222716,SARSA,5601,5700,2,860,-18.5
20251130_222716,SARSA,5701,5800,2,862,-18.66
20251130_222716,SARSA,5801,5900,6,868,-24.05
20251130_222716,SARSA,5901,6000,1,869,-16.75
20251130_222716,SARSA,6001,6100,3,872,-17.29
20251130_222716,SARSA,6101,6200,2,874,-17.09
20251130_222716,SARSA,6201,6300,2,876,-16.36
20251130_222716,SARSA,6301,6400,5,881,-25.87
20251130_222716,SARSA,6401,6500,5,886,-31.86
20251130_222716,SARSA,6501,6600,6,892,-21.01
20251130_222716,SARSA,6601,6700,10,902,-45.17
20251130_222716,SARSA,6701,6800,9,911,-38.08
20251130_222716,SARSA,6801,6900,4,915,-23.64
20251130_222716,SARSA,6901,7000,3,918,-21.19
20251130_222716,SARSA,7001,7100,5,923,-24.72
20251130_222716,SARSA,7101,7200,3,926,-17.87
20251130_222716,SARSA,7201,7300,2,928,-16.74
20251130_222716,SARSA,7301,7400,10,938,-43.28
20251130_222716,SARSA,7401,7500,7,945,-23.66
20251130_222716,SARSA,7501,7600,7,952,-23.78
20251130_222716,SARSA,7601,7700,7,959,-22.95
20251130_222716,SARSA,7701,7800,4,963,-20.0
20251130_222716,SARSA,7801,7900,7,970,-23.74
20251130_222716,SARSA,7901,8000,9,979,-30.42
20251130_222716,SARSA,8001,8100,11,990,-40.17
20251130_222716,SARSA,8101,8200,1,991,-17.26
20251130_222716,SARSA,8201,8300,4,995,-19.89
20251130_222716,SARSA,8301,8400,3,998,-17.89
20251130_222716,SARSA,8401,8500,3,1001,-17.54
20251130_222716,SARSA,8501,8600,3,1004,-17.17
20251130_222716,SARSA,8601,8700,3,1007,-16.95
20251130_222716,SARSA,8701,8800,3,1010,-17.64
20251130_222716,SARSA,8801,8900,3,1013,-19.09
20251130_222716,SARSA,8901,9000,2,1015,-16.25
20251130_222716,SARSA,9001,9100,12,1027,-48.97
20251130_222716,SARSA,9101,9200,5,1032,-23.3
20251130_222716,SARSA,9201,9300,2,1034,-27.45
20251130_222716,SARSA,9301,9400,4,1038,-21.92
20251130_222716,SARSA,9401,9500,4,1042,-23.01
20251130_222716,SARSA,9501,9600,3,1045,-21.27
20251130_222716,SARSA,9601,9700,7,1052,-31.07
20251130_222716,SARSA,9701,9800,5,1057,-28.91
20251130_222716,SARSA,9801,9900,2,1059,-18.14
20251130_222716,SARSA,9901,10000,5,1064,-22.0
20251130_222716,SARSA,10001,10100,6,1070,-22.06
20251130_222716,SARSA,10101,10200,3,1073,-19.42
20251130_222716,SARSA,10201,10300,6,1079,-30.39
20251130_222716,SARSA,10301,10400,7,1086,-34.11
20251130_222716,SARSA,10401,10500,9,1095,-29.8
20251130_222716,SARSA,10501,10600,4,1099,-45.73
20251130_222716,SARSA,10601,10700,13,1112,-53.19
20251130_222716,SARSA,10701,10800,4,1116,-31.39
20251130_222716,SARSA,10801,10900,6,1122,-33.54
20251130_222716,SARSA,10901,11000,4,1126,-22.27
20251130_222716,SARSA,11001,11100,6,1132,-30.18
20251130_222716,SARSA,11101,11200,4,1136,-29.62
20251130_222716,SARSA,11201,11300,4,1140,-31.76
20251130_222716,SARSA,11301,11400,13,1153,-54.75
20251130_222716,SARSA,11401,11500,2,1155,-16.46
20251130_222716,SARSA,11501,11600,5,1160,-19.14
20251130_222716,SARSA,11601,11700,4,1164,-18.08
20251130_222716,SARSA,11701,11800,10,1174,-43.12
20251130_222716,SARSA,11801,11900,5,1179,-24.77
20251130_222716,SARSA,11901,12000,3,1182,-19.11
20251130_222716,SARSA,12001,12100,2,1184,-19.17
20251130_222716,SARSA,12101,12200,8,1192,-50.4
20251130_222716,SARSA,12201,12300,5,1197,-20.77
20251130_222716,SARSA,12301,12400,9,1206,-24.77
20251130_222716,SARSA,12401,12500,4,1210,-20.0
20251130_222716,SARSA,12501,12600,6,1216,-21.76
20251130_222716,SARSA,12601,12700,6,1222,-26.87
20251130_222716,SARSA,12701,12800,5,1227,-20.94
20251130_222716,SARSA,12801,12900,5,1232,-20.83
20251130_222716,SARSA,12901,13000,1,1233,-17.47
20251130_222716,SARSA,13001,13100,2,1235,-18.13
20251130_222716,SARSA,13101,13200,4,1239,-22.92
20251130_222716,SARSA,13201,13300,12,1251,-58.1
20251130_222716,SARSA,13301,13400,5,1256,-19.24
20251130_222716,SARSA,13401,13500,2,1258,-16.46
20251130_222716,SARSA,13501,13600,4,1262,-18.99
20251130_222716,SARSA,13601,13700,6,1268,-24.13
20251130_222716,SARSA,13701,13800,13,1281,-64.33
20251130_222716,SARSA,13801,13900,7,1288,-21.3
20251130_222716,SARSA,13901,14000,4,1292,-18.02
20251130_222716,SARSA,14001,14100,8,1300,-22.6
20251130_222716,SARSA,14101,14200,0,1300,-14.39
20251130_222716,SARSA,14201,14300,1,1301,-15.27
20251130_222716,SARSA,14301,14400,2,1303,-16.4
20251130_222716,SARSA,14401,14500,6,1309,-25.5
20251130_222716,SARSA,14501,14600,9,1318,-37.48
20251130_222716,SARSA,14601,14700,7,1325,-48.47
20251130_222716,SARSA,14701,14800,3,1328,-21.16
20251130_222716,SARSA,14801,14900,7,1335,-25.32
20251130_222716,SARSA,14901,15000,8,1343,-30.54
20251130_222716,SARSA,15001,15100,1,1344,-19.48
