run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251122_120528,Q-Learning,1,100,100,100,-114.45
20251122_120528,Q-Learning,101,200,100,200,-114.3
20251122_120528,Q-Learning,201,300,99,299,-110.45
20251122_120528,Q-Learning,301,400,100,399,-113.64
20251122_120528,Q-Learning,401,500,100,499,-113.21
20251122_120528,Q-Learning,501,600,100,599,-112.94
20251122_120528,Q-Learning,601,700,100,699,-114.08
20251122_120528,Q-Learning,701,800,100,799,-112.39
20251122_120528,Q-Learning,801,900,91,890,-105.51
20251122_120528,Q-Learning,901,1000,90,980,-104.6
20251122_120528,Q-Learning,1001,1100,88,1068,-102.59
20251122_120528,Q-Learning,1101,1200,85,1153,-99.68
20251122_120528,Q-Learning,1201,1300,74,1227,-87.91
20251122_120528,Q-Learning,1301,1400,62,1289,-76.79
20251122_120528,Q-Learning,1401,1500,65,1354,-78.31
20251122_120528,Q-Learning,1501,1600,61,1415,-74.69
20251122_120528,Q-Learning,1601,1700,65,1480,-78.29
20251122_120528,Q-Learning,1701,1800,54,1534,-68.54
20251122_120528,Q-Learning,1801,1900,55,1589,-68.72
20251122_120528,Q-Learning,1901,2000,48,1637,-61.69
20251122_120528,Q-Learning,2001,2100,49,1686,-63.28
20251122_120528,Q-Learning,2101,2200,40,1726,-54.33
20251122_120528,Q-Learning,2201,2300,37,1763,-51.36
20251122_120528,Q-Learning,2301,2400,40,1803,-53.72
20251122_120528,Q-Learning,2401,2500,41,1844,-54.64
20251122_120528,Q-Learning,2501,2600,51,1895,-62.7
20251122_120528,Q-Learning,2601,2700,38,1933,-51.03
20251122_120528,Q-Learning,2701,2800,36,1969,-50.04
20251122_120528,Q-Learning,2801,2900,42,2011,-54.67
20251122_120528,Q-Learning,2901,3000,29,2040,-42.43
20251122_120528,Q-Learning,3001,3100,31,2071,-43.96
20251122_120528,Q-Learning,3101,3200,31,2102,-44.36
20251122_120528,Q-Learning,3201,3300,28,2130,-41.24
20251122_120528,Q-Learning,3301,3400,29,2159,-42.16
20251122_120528,Q-Learning,3401,3500,28,2187,-40.88
20251122_120528,Q-Learning,3501,3600,22,2209,-35.66
20251122_120528,Q-Learning,3601,3700,20,2229,-33.26
20251122_120528,Q-Learning,3701,3800,21,2250,-34.66
20251122_120528,Q-Learning,3801,3900,20,2270,-33.19
20251122_120528,Q-Learning,3901,4000,16,2286,-30.0
20251122_120528,Q-Learning,4001,4100,15,2301,-28.71
20251122_120528,Q-Learning,4101,4200,12,2313,-26.01
20251122_120528,Q-Learning,4201,4300,16,2329,-29.58
20251122_120528,Q-Learning,4301,4400,14,2343,-27.91
20251122_120528,Q-Learning,4401,4500,14,2357,-27.68
20251122_120528,Q-Learning,4501,4600,13,2370,-26.55
20251122_120528,Q-Learning,4601,4700,8,2378,-22.01
20251122_120528,Q-Learning,4701,4800,10,2388,-24.19
20251122_120528,Q-Learning,4801,4900,11,2399,-24.76
20251122_120528,Q-Learning,4901,5000,6,2405,-19.99
20251122_120528,Q-Learning,5001,5100,11,2416,-24.55
20251122_120528,Q-Learning,5101,5200,12,2428,-25.71
20251122_120528,Q-Learning,5201,5300,7,2435,-21.09
20251122_120528,Q-Learning,5301,5400,2,2437,-16.1
20251122_120528,Q-Learning,5401,5500,6,2443,-19.9
20251122_120528,Q-Learning,5501,5600,5,2448,-18.99
20251122_120528,Q-Learning,5601,5700,8,2456,-21.68
20251122_120528,Q-Learning,5701,5800,10,2466,-23.47
20251122_120528,Q-Learning,5801,5900,6,2472,-19.86
20251122_120528,Q-Learning,5901,6000,8,2480,-21.47
20251122_120528,Q-Learning,6001,6100,3,2483,-17.18
20251122_120528,Q-Learning,6101,6200,4,2487,-17.98
20251122_120528,Q-Learning,6201,6300,6,2493,-19.8
20251122_120528,Q-Learning,6301,6400,5,2498,-19.08
20251122_120528,Q-Learning,6401,6500,11,2509,-24.39
20251122_120528,Q-Learning,6501,6600,6,2515,-19.73
20251122_120528,Q-Learning,6601,6700,7,2522,-20.71
20251122_120528,Q-Learning,6701,6800,3,2525,-17.13
20251122_120528,Q-Learning,6801,6900,7,2532,-20.72
20251122_120528,Q-Learning,6901,7000,4,2536,-18.04
20251122_120528,Q-Learning,7001,7100,5,2541,-18.79
20251122_120528,Q-Learning,7101,7200,5,2546,-19.03
20251122_120528,Q-Learning,7201,7300,4,2550,-18.03
20251122_120528,Q-Learning,7301,7400,5,2555,-18.93
20251122_120528,Q-Learning,7401,7500,1,2556,-15.24
20251122_120528,Q-Learning,7501,7600,8,2564,-21.76
20251122_120528,Q-Learning,7601,7700,7,2571,-21.04
20251122_120528,Q-Learning,7701,7800,4,2575,-18.15
20251122_120528,Q-Learning,7801,7900,4,2579,-17.98
20251122_120528,Q-Learning,7901,8000,5,2584,-18.86
20251122_120528,Q-Learning,8001,8100,2,2586,-15.96
20251122_120528,Q-Learning,8101,8200,9,2595,-22.79
20251122_120528,Q-Learning,8201,8300,1,2596,-15.21
20251122_120528,Q-Learning,8301,8400,3,2599,-17.07
20251122_120528,Q-Learning,8401,8500,8,2607,-21.8
20251122_120528,Q-Learning,8501,8600,3,2610,-16.99
20251122_120528,Q-Learning,8601,8700,5,2615,-18.96
20251122_120528,Q-Learning,8701,8800,5,2620,-18.93
20251122_120528,Q-Learning,8801,8900,4,2624,-17.88
20251122_120528,Q-Learning,8901,9000,7,2631,-20.99
20251122_120528,Q-Learning,9001,9100,4,2635,-18.25
20251122_120528,Q-Learning,9101,9200,3,2638,-17.06
20251122_120528,Q-Learning,9201,9300,9,2647,-22.5
20251122_120528,Q-Learning,9301,9400,2,2649,-16.16
20251122_120528,Q-Learning,9401,9500,3,2652,-17.13
