run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251122_114944,SARSA,1,100,100,100,-117.61
20251122_114944,SARSA,101,200,98,198,-120.42
20251122_114944,SARSA,201,300,100,298,-118.63
20251122_114944,SARSA,301,400,94,392,-115.22
20251122_114944,SARSA,401,500,76,468,-110.26
20251122_114944,SARSA,501,600,61,529,-86.26
20251122_114944,SARSA,601,700,46,575,-68.74
20251122_114944,SARSA,701,800,39,614,-76.18
20251122_114944,SARSA,801,900,12,626,-32.85
20251122_114944,SARSA,901,1000,13,639,-38.19
20251122_114944,SARSA,1001,1100,7,646,-29.5
20251122_114944,SARSA,1101,1200,5,651,-24.42
20251122_114944,SARSA,1201,1300,5,656,-29.6
20251122_114944,SARSA,1301,1400,6,662,-25.1
20251122_114944,SARSA,1401,1500,2,664,-17.64
20251122_114944,SARSA,1501,1600,7,671,-31.64
20251122_114944,SARSA,1601,1700,6,677,-27.96
20251122_114944,SARSA,1701,1800,5,682,-19.91
20251122_114944,SARSA,1801,1900,8,690,-26.33
20251122_114944,SARSA,1901,2000,2,692,-16.18
20251122_114944,SARSA,2001,2100,3,695,-17.93
20251122_114944,SARSA,2101,2200,4,699,-18.48
20251122_114944,SARSA,2201,2300,4,703,-19.08
20251122_114944,SARSA,2301,2400,2,705,-16.2
20251122_114944,SARSA,2401,2500,9,714,-28.11
20251122_114944,SARSA,2501,2600,3,717,-21.64
20251122_114944,SARSA,2601,2700,7,724,-22.29
20251122_114944,SARSA,2701,2800,13,737,-48.74
20251122_114944,SARSA,2801,2900,4,741,-20.35
20251122_114944,SARSA,2901,3000,3,744,-18.68
20251122_114944,SARSA,3001,3100,5,749,-19.02
20251122_114944,SARSA,3101,3200,2,751,-16.44
20251122_114944,SARSA,3201,3300,3,754,-17.19
20251122_114944,SARSA,3301,3400,0,754,-14.36
20251122_114944,SARSA,3401,3500,3,757,-18.69
20251122_114944,SARSA,3501,3600,0,757,-16.2
20251122_114944,SARSA,3601,3700,1,758,-17.34
20251122_114944,SARSA,3701,3800,2,760,-20.95
20251122_114944,SARSA,3801,3900,1,761,-17.48
20251122_114944,SARSA,3901,4000,2,763,-18.03
20251122_114944,SARSA,4001,4100,1,764,-17.88
20251122_114944,SARSA,4101,4200,1,765,-17.22
20251122_114944,SARSA,4201,4300,2,767,-18.19
20251122_114944,SARSA,4301,4400,2,769,-19.0
20251122_114944,SARSA,4401,4500,4,773,-20.55
20251122_114944,SARSA,4501,4600,0,773,-16.42
20251122_114944,SARSA,4601,4700,8,781,-36.48
20251122_114944,SARSA,4701,4800,5,786,-29.44
20251122_114944,SARSA,4801,4900,22,808,-88.66
20251122_114944,SARSA,4901,5000,3,811,-20.2
20251122_114944,SARSA,5001,5100,6,817,-22.13
20251122_114944,SARSA,5101,5200,2,819,-18.13
20251122_114944,SARSA,5201,5300,3,822,-19.1
20251122_114944,SARSA,5301,5400,3,825,-19.37
20251122_114944,SARSA,5401,5500,6,831,-22.03
20251122_114944,SARSA,5501,5600,0,831,-16.53
20251122_114944,SARSA,5601,5700,4,835,-21.15
20251122_114944,SARSA,5701,5800,7,842,-24.64
20251122_114944,SARSA,5801,5900,4,846,-29.98
20251122_114944,SARSA,5901,6000,1,847,-17.33
20251122_114944,SARSA,6001,6100,5,852,-20.9
20251122_114944,SARSA,6101,6200,2,854,-18.52
20251122_114944,SARSA,6201,6300,6,860,-30.6
20251122_114944,SARSA,6301,6400,4,864,-21.73
20251122_114944,SARSA,6401,6500,6,870,-27.16
20251122_114944,SARSA,6501,6600,1,871,-17.22
20251122_114944,SARSA,6601,6700,3,874,-19.16
20251122_114944,SARSA,6701,6800,8,882,-33.42
20251122_114944,SARSA,6801,6900,3,885,-18.95
20251122_114944,SARSA,6901,7000,5,890,-20.93
20251122_114944,SARSA,7001,7100,7,897,-30.04
20251122_114944,SARSA,7101,7200,2,899,-18.94
20251122_114944,SARSA,7201,7300,6,905,-25.83
20251122_114944,SARSA,7301,7400,3,908,-21.17
20251122_114944,SARSA,7401,7500,5,913,-21.82
20251122_114944,SARSA,7501,7600,5,918,-24.38
