run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251121_162144,Q-Learning,1,100,100,100,-113.44
20251121_162144,Q-Learning,101,200,100,200,-113.68
20251121_162144,Q-Learning,201,300,100,300,-113.49
20251121_162144,Q-Learning,301,400,100,400,-113.94
20251121_162144,Q-Learning,401,500,98,498,-111.14
20251121_162144,Q-Learning,501,600,100,598,-113.78
20251121_162144,Q-Learning,601,700,95,693,-110.06
20251121_162144,Q-Learning,701,800,92,785,-106.02
20251121_162144,Q-Learning,801,900,75,860,-89.7
20251121_162144,Q-Learning,901,1000,78,938,-91.57
20251121_162144,Q-Learning,1001,1100,64,1002,-77.56
20251121_162144,Q-Learning,1101,1200,61,1063,-75.69
20251121_162144,Q-Learning,1201,1300,59,1122,-72.65
20251121_162144,Q-Learning,1301,1400,50,1172,-63.72
20251121_162144,Q-Learning,1401,1500,49,1221,-62.3
20251121_162144,Q-Learning,1501,1600,43,1264,-57.34
20251121_162144,Q-Learning,1601,1700,43,1307,-56.64
20251121_162144,Q-Learning,1701,1800,41,1348,-54.22
20251121_162144,Q-Learning,1801,1900,39,1387,-51.94
20251121_162144,Q-Learning,1901,2000,35,1422,-48.38
20251121_162144,Q-Learning,2001,2100,35,1457,-48.53
20251121_162144,Q-Learning,2101,2200,30,1487,-43.64
20251121_162144,Q-Learning,2201,2300,35,1522,-48.16
20251121_162144,Q-Learning,2301,2400,17,1539,-30.95
20251121_162144,Q-Learning,2401,2500,26,1565,-39.23
20251121_162144,Q-Learning,2501,2600,16,1581,-29.78
20251121_162144,Q-Learning,2601,2700,22,1603,-35.08
20251121_162144,Q-Learning,2701,2800,15,1618,-29.07
20251121_162144,Q-Learning,2801,2900,16,1634,-29.71
20251121_162144,Q-Learning,2901,3000,13,1647,-26.63
20251121_162144,Q-Learning,3001,3100,18,1665,-31.28
20251121_162144,Q-Learning,3101,3200,14,1679,-27.35
20251121_162144,Q-Learning,3201,3300,10,1689,-24.0
20251121_162144,Q-Learning,3301,3400,12,1701,-26.11
20251121_162144,Q-Learning,3401,3500,16,1717,-29.81
20251121_162144,Q-Learning,3501,3600,13,1730,-26.73
20251121_162144,Q-Learning,3601,3700,15,1745,-28.58
20251121_162144,Q-Learning,3701,3800,12,1757,-25.76
20251121_162144,Q-Learning,3801,3900,14,1771,-27.51
20251121_162144,Q-Learning,3901,4000,16,1787,-29.5
20251121_162144,Q-Learning,4001,4100,8,1795,-22.04
20251121_162144,Q-Learning,4101,4200,12,1807,-25.94
20251121_162144,Q-Learning,4201,4300,17,1824,-30.5
20251121_162144,Q-Learning,4301,4400,10,1834,-23.77
20251121_162144,Q-Learning,4401,4500,20,1854,-33.09
20251121_162144,Q-Learning,4501,4600,14,1868,-27.92
20251121_162144,Q-Learning,4601,4700,10,1878,-24.04
20251121_162144,Q-Learning,4701,4800,15,1893,-28.58
20251121_162144,Q-Learning,4801,4900,14,1907,-27.48
20251121_162144,Q-Learning,4901,5000,9,1916,-23.19
20251121_162144,Q-Learning,5001,5100,8,1924,-22.0
20251121_162144,Q-Learning,5101,5200,14,1938,-27.84
20251121_162144,Q-Learning,5201,5300,11,1949,-24.9
20251121_162144,Q-Learning,5301,5400,12,1961,-26.01
20251121_162144,Q-Learning,5401,5500,21,1982,-34.09
20251121_162144,Q-Learning,5501,5600,10,1992,-24.27
20251121_162144,Q-Learning,5601,5700,13,2005,-26.71
20251121_162144,Q-Learning,5701,5800,9,2014,-22.87
20251121_162144,Q-Learning,5801,5900,9,2023,-23.02
20251121_162144,Q-Learning,5901,6000,17,2040,-30.43
20251121_162144,Q-Learning,6001,6100,11,2051,-24.71
20251121_162144,Q-Learning,6101,6200,15,2066,-28.49
20251121_162144,Q-Learning,6201,6300,12,2078,-25.87
20251121_162144,Q-Learning,6301,6400,16,2094,-29.91
20251121_162144,Q-Learning,6401,6500,10,2104,-24.07
20251121_162144,Q-Learning,6501,6600,8,2112,-21.85
20251121_162144,Q-Learning,6601,6700,16,2128,-29.5
20251121_162144,Q-Learning,6701,6800,9,2137,-23.09
20251121_162144,Q-Learning,6801,6900,16,2153,-29.37
20251121_162144,Q-Learning,6901,7000,8,2161,-22.08
20251121_162144,Q-Learning,7001,7100,13,2174,-26.52
20251121_162144,Q-Learning,7101,7200,9,2183,-23.07
20251121_162144,Q-Learning,7201,7300,10,2193,-24.04
20251121_162144,Q-Learning,7301,7400,12,2205,-26.15
20251121_162144,Q-Learning,7401,7500,20,2225,-33.45
20251121_162144,Q-Learning,7501,7600,14,2239,-27.51
20251121_162144,Q-Learning,7601,7700,16,2255,-29.6
20251121_162144,Q-Learning,7701,7800,13,2268,-26.67
20251121_162144,Q-Learning,7801,7900,15,2283,-28.53
20251121_162144,Q-Learning,7901,8000,16,2299,-29.55
20251121_162144,Q-Learning,8001,8100,12,2311,-26.14
20251121_162144,Q-Learning,8101,8200,17,2328,-30.55
20251121_162144,Q-Learning,8201,8300,13,2341,-26.92
20251121_162144,Q-Learning,8301,8400,13,2354,-26.97
20251121_162144,Q-Learning,8401,8500,17,2371,-30.68
20251121_162144,Q-Learning,8501,8600,15,2386,-28.47
20251121_162144,Q-Learning,8601,8700,11,2397,-24.81
20251121_162144,Q-Learning,8701,8800,14,2411,-27.58
20251121_162144,Q-Learning,8801,8900,8,2419,-22.09
20251121_162144,Q-Learning,8901,9000,13,2432,-26.69
20251121_162144,Q-Learning,9001,9100,12,2444,-25.99
20251121_162144,Q-Learning,9101,9200,13,2457,-26.68
20251121_162144,Q-Learning,9201,9300,14,2471,-27.58
20251121_162144,Q-Learning,9301,9400,14,2485,-27.93
20251121_162144,Q-Learning,9401,9500,17,2502,-30.67
20251121_162144,Q-Learning,9501,9600,16,2518,-29.81
20251121_162144,Q-Learning,9601,9700,7,2525,-21.56
20251121_162144,Q-Learning,9701,9800,21,2546,-34.4
20251121_162144,Q-Learning,9801,9900,12,2558,-25.82
20251121_162144,Q-Learning,9901,10000,11,2569,-24.91
20251121_162758,Q-Learning,1,100,100,100,-114.42
20251121_162758,Q-Learning,101,200,100,200,-113.72
20251121_162758,Q-Learning,201,300,100,300,-111.2
20251121_162758,Q-Learning,301,400,99,399,-111.84
20251121_162758,Q-Learning,401,500,98,497,-110.61
20251121_162758,Q-Learning,501,600,96,593,-110.16
20251121_162758,Q-Learning,601,700,95,688,-109.47
20251121_162758,Q-Learning,701,800,96,784,-108.69
20251121_162758,Q-Learning,801,900,83,867,-97.99
20251121_162758,Q-Learning,901,1000,70,937,-85.37
20251121_162758,Q-Learning,1001,1100,75,1012,-88.5
20251121_162758,Q-Learning,1101,1200,61,1073,-75.17
20251121_162758,Q-Learning,1201,1300,50,1123,-64.93
20251121_162758,Q-Learning,1301,1400,43,1166,-57.59
20251121_162758,Q-Learning,1401,1500,47,1213,-61.15
20251121_162758,Q-Learning,1501,1600,35,1248,-49.38
20251121_162758,Q-Learning,1601,1700,39,1287,-52.84
20251121_162758,Q-Learning,1701,1800,45,1332,-57.74
20251121_162758,Q-Learning,1801,1900,42,1374,-54.86
20251121_162758,Q-Learning,1901,2000,36,1410,-48.77
20251121_162758,Q-Learning,2001,2100,34,1444,-47.0
20251121_162758,Q-Learning,2101,2200,29,1473,-42.46
20251121_162758,Q-Learning,2201,2300,26,1499,-39.59
20251121_162758,Q-Learning,2301,2400,22,1521,-35.47
20251121_162758,Q-Learning,2401,2500,25,1546,-38.73
20251121_162758,Q-Learning,2501,2600,19,1565,-32.84
20251121_162758,Q-Learning,2601,2700,23,1588,-36.17
20251121_162758,Q-Learning,2701,2800,14,1602,-27.89
20251121_162758,Q-Learning,2801,2900,17,1619,-30.5
20251121_162758,Q-Learning,2901,3000,17,1636,-30.55
20251121_162758,Q-Learning,3001,3100,12,1648,-26.12
20251121_162758,Q-Learning,3101,3200,10,1658,-23.95
20251121_162758,Q-Learning,3201,3300,11,1669,-24.73
20251121_162758,Q-Learning,3301,3400,12,1681,-25.85
20251121_162758,Q-Learning,3401,3500,10,1691,-23.9
20251121_162758,Q-Learning,3501,3600,8,1699,-22.17
20251121_162758,Q-Learning,3601,3700,14,1713,-27.69
20251121_162758,Q-Learning,3701,3800,12,1725,-26.17
20251121_162758,Q-Learning,3801,3900,12,1737,-25.91
20251121_162758,Q-Learning,3901,4000,17,1754,-30.33
20251121_162758,Q-Learning,4001,4100,16,1770,-29.44
20251121_162758,Q-Learning,4101,4200,12,1782,-25.64
20251121_162758,Q-Learning,4201,4300,12,1794,-25.94
20251121_162758,Q-Learning,4301,4400,10,1804,-24.04
20251121_162758,Q-Learning,4401,4500,20,1824,-33.32
20251121_162758,Q-Learning,4501,4600,7,1831,-21.08
20251121_162758,Q-Learning,4601,4700,10,1841,-23.94
20251121_162758,Q-Learning,4701,4800,13,1854,-27.04
20251121_162758,Q-Learning,4801,4900,12,1866,-25.81
20251121_162758,Q-Learning,4901,5000,15,1881,-28.42
20251121_162758,Q-Learning,5001,5100,14,1895,-27.8
20251121_162758,Q-Learning,5101,5200,20,1915,-33.31
20251121_162758,Q-Learning,5201,5300,14,1929,-27.5
20251121_162758,Q-Learning,5301,5400,19,1948,-32.41
20251121_162758,Q-Learning,5401,5500,18,1966,-31.25
20251121_162758,Q-Learning,5501,5600,14,1980,-27.83
20251121_162758,Q-Learning,5601,5700,10,1990,-24.16
20251121_162758,Q-Learning,5701,5800,15,2005,-28.45
20251121_162758,Q-Learning,5801,5900,14,2019,-27.58
20251121_162758,Q-Learning,5901,6000,17,2036,-30.59
20251121_162758,Q-Learning,6001,6100,14,2050,-27.71
20251121_162758,Q-Learning,6101,6200,12,2062,-25.71
20251121_162758,Q-Learning,6201,6300,8,2070,-22.18
20251121_162758,Q-Learning,6301,6400,21,2091,-34.57
20251121_162758,Q-Learning,6401,6500,20,2111,-33.27
20251121_162758,Q-Learning,6501,6600,18,2129,-31.32
20251121_162758,Q-Learning,6601,6700,12,2141,-25.82
20251121_162758,Q-Learning,6701,6800,14,2155,-27.46
20251121_162758,Q-Learning,6801,6900,16,2171,-29.7
20251121_162758,Q-Learning,6901,7000,15,2186,-28.58
20251121_162758,Q-Learning,7001,7100,14,2200,-27.63
20251121_162758,Q-Learning,7101,7200,16,2216,-29.43
20251121_162758,Q-Learning,7201,7300,11,2227,-24.78
20251121_162758,Q-Learning,7301,7400,10,2237,-23.87
20251121_162758,Q-Learning,7401,7500,19,2256,-32.49
20251121_162758,Q-Learning,7501,7600,10,2266,-23.82
20251121_162758,Q-Learning,7601,7700,14,2280,-27.77
20251121_162758,Q-Learning,7701,7800,15,2295,-28.39
20251121_162758,Q-Learning,7801,7900,17,2312,-30.22
20251121_162758,Q-Learning,7901,8000,8,2320,-21.74
20251121_162758,Q-Learning,8001,8100,11,2331,-24.79
20251121_162758,Q-Learning,8101,8200,12,2343,-25.91
20251121_162758,Q-Learning,8201,8300,13,2356,-26.59
20251121_162758,Q-Learning,8301,8400,9,2365,-23.14
20251121_162758,Q-Learning,8401,8500,12,2377,-25.87
20251121_162758,Q-Learning,8501,8600,12,2389,-25.78
20251121_162758,Q-Learning,8601,8700,10,2399,-23.84
20251121_162758,Q-Learning,8701,8800,11,2410,-24.96
20251121_162758,Q-Learning,8801,8900,11,2421,-24.79
20251121_162758,Q-Learning,8901,9000,16,2437,-29.48
20251121_162758,Q-Learning,9001,9100,10,2447,-24.08
20251121_162758,Q-Learning,9101,9200,13,2460,-26.84
20251121_162758,Q-Learning,9201,9300,17,2477,-30.65
